func_div_id,func_div_name_english,func_group_id,func_group_name_english,func_class_id,func_class_name_english
1,General Public Services,0,unclassified,0,unclassified
2,Defence,1,Sickness and disability,10,Sickness and disability
3,Public Order and Safety,2,Old age,20,age
4,Economic Affairs,3,Survivors (family pensions),30,Users of family pensions
5,Environmental Protection,4,Family and children,40,Family and children
6,Housing and Community Amenities,5,unemployment,50,unemployment
7,Health,6,Housing,70,Social aid to the population - unclassified 
8,"Recreation, Culture and Religion",7,Social exclusion - unclassified,80,Social Protection - R & D
9,Education,8,Social protection - R&D,90,Social protection - unclassified 
10,Social Protection,9,Social protection - unclassified,110,"Executive and legislative authorities, financial and fiscal affairs and foreign affairs"
,,11,"Executive and legislative organs, financial and fiscal affairs, external affairs",111,Executive and legislative authorities
,,12,Foreign economic aid,112,Financial and fiscal affairs
,,13,General services,113,foreign affairs
,,14,basic research,122,Economic assistance through international organizations
,,15,General public services - R & D,130,General services
,,16,General public services - unclassified,132,General planning services and statistics
,,17,Public debt transactions,133,Other general services
,,18,Transfers of a general character between different levels of government,140,basic research
,,21,Military defense,150,General public services - R & D
,,22,civil defense,160,General public services - R & D
,,25,Defence - unclassified ,170,Public debt transactions
,,31,police services,180,General transactions between different levels of government
,,32,Fire protection services,210,Military defense
,,33,dishes,220,civil defense
,,34,Prisons,250,Defence - unclassified 
,,35,Public order and safety - R & D,310,police services
,,36,Public Order and Safety - unclassified,320,services of the police
,,41,General economic and commercial affairs and in terms of labor,330,Courts
,,42,"Agriculture, forestry, hunting and fishing",340,Jails
,,43,Fuel and energy,350,Public order and safety - R & D
,,44,"Mining, manufacturing and construction",360,Public Order and Safety - unclassified
,,45,traffic,410,General economic and commercial affairs and affairs related to labor
,,46,communications,411,General economic and commercial affairs
,,47,Other industries,412,General affairs in terms of labor
,,48,Economic affairs - R & D,420,"Agriculture, forestry, hunting and fishing"
,,49,Economic affairs - unclassified,421,agriculture
,,50,Environmental Protection,422,forestry
,,51,Waste management,423,Hunting and fishing
,,52,Wastewater management,430,Fuel and energy
,,53,Reducing pollution,431,Coal and other solid mineral fuels
,,54,Protection of flora and fauna and landscapes,432,Oil and natural gas
,,55,Environmental protection - Research and Development,434,Other Fuels
,,56,Environmental protection - unclassified,435,Electrical energy
,,61,Housing development,436,non-electric energy
,,62,community development,440,"Mining, manufacturing and construction"
,,63,Water supply,450,traffic
,,64,Street lighting,451,Road traffic
,,65,Housing and community amenities - R & D,452,water traffic
,,66,Housing and community amenities - unclassified,453,train traffic
,,70,health,454,Air traffic
,,71,"Medical products, appliances and equipment",455,Pipelines and other forms of transport
,,72,outpatient services,460,communications
,,73,hospital services,470,Other activities
