,mun_id,mun,appointment,same_person,party_change,pres_name,party_id,party_abr,prior_party_id,prior_party_name,date
0,70017,Aleksandrovac,0.0,1.0,1.0,Jugoslav Stajkovac,46,GGZBZ,4.0,URS,2-Jun-2014
1,70017,Aleksandrovac,1.0,1.0,1.0,Jugoslav Stajkovac,4,URS,47.0,GGPZZ,24-Aug-2013
2,70017,Aleksandrovac,1.0,1.0,0.0,Dragan Blagojevic,1,SNS,,,20-Mar-2013
3,70017,Aleksandrovac,1.0,0.0,1.0,Dragan Blagojevic,1,SNS,,,17-Sep-2012
4,70017,Aleksandrovac,1.0,0.0,1.0,Jugoslav Stajkovac,47,GGPZZ,,,5-Sep-2012
5,70017,Aleksandrovac,1.0,0.0,1.0,Zoran Bojovic,1,SNS,,,1-Jun-2012
6,70017,Aleksandrovac,1.0,1.0,0.0,Jugoslav Stajkovac,47,GGPZZ,,,20-May-2012
7,70017,Aleksandrovac,1.0,1.0,0.0,Jugoslav Stajkovac,47,GGPZZ,,,1-Jul-2008
8,70025,Aleksinac,1.0,0.0,1.0,Nenad Stankovic,1,SNS,,,24-Jul-2012
9,70025,Aleksinac,1.0,0.0,,Ivan Dimic,7,DSS,,,15-Dec-2008
10,70033,Arandjelovac,1.0,0.0,1.0,Bojan Radovic,1,SNS,2.0,DS,29-Aug-2012
11,70033,Arandjelovac,1.0,0.0,1.0,Vlada Gajic,2,DS,17.0,SRS,23-May-2008
12,70041,Arilje,1.0,0.0,1.0,Milan Nikolic,17,SRS,,,26-Jun-2015
13,70041,Arilje,1.0,0.0,1.0,Zoran Todorovic,1,SNS,,,31-May-2012
14,70041,Arilje,1.0,1.0,0.0,Mirjana Avakumic,2,DS,,,10-May-2008
15,70050,Babusnica,1.0,0.0,1.0,Sasa Stamenkovic,1,SNS,3.0,SPS,6-Aug-2012
16,70050,Babusnica,1.0,,,Zlatko Arsic,3,SPS,,,20-May-2008
17,70068,Bajina Basta,1.0,0.0,1.0,Radomir Filipovic,1,SNS,17.0,SRS,25-Mar-2014
18,70068,Bajina Basta,1.0,0.0,0.0,Zlatan Jovanovic,17,SRS,17.0,SRS,6-Jun-2011
19,70076,Batocina,1.0,1.0,0.0,Radisa Milosevic,2,DS,,,1-Aug-2012
20,70076,Batocina,1.0,1.0,0.0,Radisa MIlosevic,2,DS,,,28-May-2008
21,70084,Bela Palanka,0.0,1.0,1.0,Goran Miljkovic,19,SDS,2.0,DS,9-Feb-2014
22,70084,Bela Palanka,1.0,0.0,1.0,Goran Miljkovic,2,DS,,,6-Jun-2012
23,70084,Bela Palanka,1.0,0.0,,Aleksandar Zivkovic,3,SPS,,,5-Jul-2008
28,70149,Beograd-Zvezdara,1.0,1.0,0.0,Edip Serifov,2,DS,2.0,DS,11-Jun-2014
29,70149,Beograd-Zvezdara,1.0,0.0,0.0,Edip Serifov,2,DS,2.0,DS,15-May-2012
30,70149,Beograd-Zvezdara,1.0,,,Milan Popovic,2,DS,,,9-Jul-2008
31,70157,Beograd-Zemun,1.0,0.0,0.0,Dejan Matic,1,SNS,1.0,SNS,4-Jul-2013
32,70157,Beograd-Zemun,1.0,0.0,1.0,Branislav Prostran,1,SNS,17.0,SRS,21-Jul-2009
37,70203,Beograd-Palilula,1.0,0.0,0.0,Stojan Nikolic,2,DS,2.0,DS,10-Jun-2012
38,70203,Beograd-Palilula,1.0,,,Danilo Basic,2,DS,,,15-Jul-2008
39,70211,Beograd-Rakovica,1.0,0.0,0.0,Vladan Kocic,1,SNS,1.0,SNS,10-Jun-2014
40,70211,Beograd-Rakovica,1.0,0.0,1.0,Milosav Milickovic,1,SNS,2.0,DS,5-Jul-2012
41,70211,Beograd-Rakovica,1.0,1.0,0.0,Bojan Milic,2,DS,2.0,DS,13-Jul-2008
46,70262,Blace,1.0,0.0,1.0,Ivan Burgic,1,SNS,7.0,DSS,20-Jun-2014
47,70262,Blace,1.0,0.0,1.0,Radoje Krstovic,7,DSS,2.0,DS,6-Mar-2012
48,70262,Blace,1.0,,,Nebojsa Milosavljevic,2,DS,,,11-Jul-2008
49,70289,Bogatic,1.0,0.0,1.0,Nenad Beserovac,3,SPS,2.0,DS,15-May-2012
50,70289,Bogatic,1.0,,,Slobodan Savic,2,DS,,,1-Jul-2008
51,70297,Bojnik,1.0,0.0,1.0,Ivan Stanojevic,1,SNS,2.0,DS,5-Jun-2012
52,70297,Bojnik,1.0,0.0,1.0,Nebojsa Nenadovic,2,DS,17.0,SRS,20-Dec-2008
53,70319,Boljevac,0.0,1.0,1.0,Nebojsa Marjanovic,1,SNS,4.0,URS,1-Jul-2014
54,70319,Boljevac,1.0,1.0,0.0,Nebojsa Marjanovic,4,URS,,,6-May-2012
55,70319,Boljevac,0.0,1.0,0.0,Nebojsa Marjanovic,4,URS,,,7-Dec-2010
56,70327,Bor,1.0,0.0,0.0,Zivorad Petrovic,1,SNS,,,10-Apr-2014
57,70327,Bor,1.0,0.0,1.0,Sasa Vukadinovic,1,SNS,,,5-Jun-2013
58,70327,Bor,1.0,1.0,0.0,Nebojsa VIdenovic,4,URS,,,18-May-2012
59,70327,Bor,1.0,,,Nebojsa Videnovic,4,URS,,,22-May-2008
60,70335,Bosilegrad,1.0,1.0,0.0,Vladimir Zaharijev,7,DSS,,,17-Mar-2014
61,70335,Bosilegrad,1.0,1.0,0.0,Vladimir Zaharijev,7,DSS,,,28-May-2012
62,70335,Bosilegrad,1.0,1.0,0.0,Vladimir Zaharijev,7,DSS,,,29-May-2008
63,70343,Brus,1.0,0.0,1.0,Milutin Jelicic,15,NS,1.0,SNS,24-Mar-2015
64,70343,Brus,1.0,0.0,1.0,Slobodan Vidojevic,1,SNS,3.0,SPS,21-Aug-2013
65,70343,Brus,1.0,0.0,1.0,Zoran Obradovic,3,SPS,15.0,NS,7-Jun-2012
66,70343,Brus,1.0,,,Zoran Sljivic,15,NS,,,1-Jun-2008
67,70351,Bujanovac,1.0,0.0,1.0,Nagip Arifi,48,DP,,,8-May-2012
68,70351,Bujanovac,1.0,,,Saip Kamberi,49,PDD,,,31-May-2008
69,70360,Valjevo,1.0,1.0,0.0,Stanko Terzic,3,SPS,3.0,SPS,21-Jun-2014
70,70360,Valjevo,1.0,0.0,1.0,Stanko Terzic,3,SPS,3.0,SPs,29-May-2012
71,70360,Valjevo,1.0,0.0,1.0,Zoran Jakovljevic,2,DS,7.0,DSS,1-Aug-2008
72,70378,Varvarin,1.0,1.0,0.0,Zoran Milenkovic,25,SPO,25.0,SPO,6-May-2012
73,70378,Varvarin,1.0,1.0,0.0,Zoran Milenkovic,25,SPO,,,7-Jul-2008
74,70386,Velika Plana,1.0,0.0,1.0,Igor Matkovic,1,SNS,,,22-Aug-2015
75,70386,Velika Plana,1.0,1.0,0.0,Dejan Sulkic,7,DSS,,,15-May-2012
76,70386,Velika Plana,1.0,1.0,0.0,Dejan Sulkic,7,DSS,,,1-Jun-2008
77,70394,Veliko Gradiste,0.0,1.0,1.0,Dragan Milic,1,SNS,44.0,GGDM,7-Mar-2016
78,70394,Veliko Gradiste,1.0,1.0,0.0,Dragan Milic,44,GGDM,,,23-May-2012
79,70394,Veliko Gradiste,1.0,0.0,1.0,Dragan Milic,44,GGDM,,,10-Oct-2010
80,70408,Vladimirci,1.0,0.0,1.0,Milinkovic Milorad,1,SNS,,,17-Jun-2015
81,70408,Vladimirci,1.0,0.0,1.0,Dragan Simeunovic,3,SPS,,,17-Mar-2015
82,70408,Vladimirci,1.0,1.0,0.0,Vladica Markovic,2,DS,,,3-Jul-2012
83,70408,Vladimirci,1.0,0.0,1.0,Vladica Markovic,2,DS,,,17-Jun-2010
84,70416,Vladicin Han,1.0,0.0,0.0,Branislav Tosic,1,SNS,1.0,SNS,11-Nov-2014
85,70416,Vladicin Han,1.0,0.0,1.0,Goran Mladenovic,1,SNS,2.0,DS,4-Jul-2012
86,70416,Vladicin Han,1.0,,,Nenad Mitrovic,2,DS,,,8-Jul-2008
87,70424,Vlasotince,1.0,0.0,1.0,Zoran Todorovic,1,SNS,,,28-Sep-2015
88,70424,Vlasotince,1.0,0.0,1.0,Miroslav Ljubenovic,11,PS,,,30-Nov-2014
89,70424,Vlasotince,1.0,0.0,1.0,Zoran Todorovic,1,SNS,,,29-Dec-2013
90,70424,Vlasotince,1.0,0.0,1.0,Nebojsa Stojanovic,3,SPS,,,6-Jun-2012
91,70424,Vlasotince,1.0,,,Srdjan Susilic,2,DS,,,1-Jun-2008
92,70432,Vranje,1.0,0.0,0.0,Zoran Antic,3,SPS,3.0,SPS,1-Jul-2012
93,70432,Vranje,1.0,1.0,0.0,Miroljub Stojcic,3,SPS,3.0,SPS,2-Jun-2008
94,70459,Vrnjacka Banja,1.0,0.0,1.0,Boban Djurovic,1,SNS,2.0,SNS,21-Aug-2012
95,70459,Vrnjacka Banja,1.0,,,Zoran Seizovic,2,DS,,,14-May-2008
96,70467,Gadzin Han,1.0,1.0,0.0,Sasa Djordjevic,3,SPS,3.0,SPS,8-May-2012
97,70467,Gadzin Han,1.0,1.0,,Sasa Djordjevic,3,SPS,,,25-May-2008
98,70475,Golubac,1.0,0.0,1.0,Nebojsa Mijovic,1,SNS,2.0,DS,25-Oct-2014
99,70475,Golubac,1.0,1.0,0.0,Zoran Pajkic,2,DS,2.0,DS,6-Jun-2010
100,70483,Gornji Milanovac,1.0,0.0,1.0,Milisav Mirkovic,2,DS,3.0,SPS,6-May-2012
101,70483,Gornji Milanovac,1.0,1.0,0.0,Drazimir Marusic,3,SPS,3.0,SPS,5-May-2008
102,70491,Despotovac,1.0,0.0,1.0,Dejan Nenadovic,3,SPS,2.0,DS,10-Jan-2013
103,70491,Despotovac,1.0,1.0,0.0,Malisa Alimpijevic,2,DS,2.0,DS,21-May-2012
104,70491,Despotovac,1.0,0.0,,Malisa Alimpijevic,2,DS,,,1-Jun-2010
105,70505,Dimitrovgrad,1.0,0.0,1.0,Zoran Djurov,1,SNS,,,27-Jan-2015
106,70505,Dimitrovgrad,1.0,0.0,1.0,Nebojsa Ivanov,42,DPB,,,24-Apr-2013
107,70505,Dimitrovgrad,1.0,1.0,0.0,Vladica Dimitrov,2,DS,,,20-May-2012
108,70505,Dimitrovgrad,1.0,0.0,0.0,Vladica Dimitrov,2,DS,,,15-Dec-2011
109,70513,Doljevac,0.0,1.0,1.0,Goran Ljubic,1,SNS,26.0,PZJ,13-Feb-2016
110,70513,Doljevac,1.0,1.0,0.0,Goran Ljubic,26,PZJ,26.0,PZJ,10-May-2012
111,70513,Doljevac,1.0,1.0,,Goran Ljubic,26,PZJ,,,17-May-2008
112,70521,Zabari,1.0,1.0,0.0,Miodrag Filipovic,3,SPS,3.0,SPS,5-Jun-2014
