,mb,party_id,name_abr,name_full
0,70033,2,DS,Demokratska Stranka
1,70149,2,DS,Demokratska Stranka
2,70203,2,DS,Demokratska Stranka
3,70211,2,DS,Demokratska Stranka
4,70262,2,DS,Demokratska Stranka
5,70289,2,DS,Demokratska Stranka
6,70297,2,DS,Demokratska Stranka
7,70360,2,DS,Demokratska Stranka
8,70416,2,DS,Demokratska Stranka
9,70459,2,DS,Demokratska Stranka
10,70475,2,DS,Demokratska Stranka
11,70491,2,DS,Demokratska Stranka
12,70548,2,DS,Demokratska Stranka
13,70599,2,DS,Demokratska Stranka
14,70602,2,DS,Demokratska Stranka
15,70653,2,DS,Demokratska Stranka
16,70726,2,DS,Demokratska Stranka
17,70840,2,DS,Demokratska Stranka
18,70904,2,DS,Demokratska Stranka
19,70947,2,DS,Demokratska Stranka
20,70955,2,DS,Demokratska Stranka
21,71102,2,DS,Demokratska Stranka
22,71170,2,DS,Demokratska Stranka
23,71331,2,DS,Demokratska Stranka
24,79014,2,DS,Demokratska Stranka
25,79022,2,DS,Demokratska Stranka
26,80039,2,DS,Demokratska Stranka
27,80080,2,DS,Demokratska Stranka
28,80136,2,DS,Demokratska Stranka
29,80144,2,DS,Demokratska Stranka
30,80152,2,DS,Demokratska Stranka
31,80209,2,DS,Demokratska Stranka
32,80217,2,DS,Demokratska Stranka
33,80225,2,DS,Demokratska Stranka
34,80233,2,DS,Demokratska Stranka
35,80284,2,DS,Demokratska Stranka
36,80306,2,DS,Demokratska Stranka
37,80314,2,DS,Demokratska Stranka
38,80365,2,DS,Demokratska Stranka
39,80381,2,DS,Demokratska Stranka
40,80411,2,DS,Demokratska Stranka
41,80420,2,DS,Demokratska Stranka
42,80438,2,DS,Demokratska Stranka
43,80462,2,DS,Demokratska Stranka
44,80489,2,DS,Demokratska Stranka
45,80497,2,DS,Demokratska Stranka
46,70050,3,SPS,Socijalisticka Partija Srbije
47,70432,3,SPS,Socijalisticka Partija Srbije
48,70467,3,SPS,Socijalisticka Partija Srbije
49,70483,3,SPS,Socijalisticka Partija Srbije
50,70521,3,SPS,Socijalisticka Partija Srbije
51,70572,3,SPS,Socijalisticka Partija Srbije
52,70777,3,SPS,Socijalisticka Partija Srbije
53,70793,3,SPS,Socijalisticka Partija Srbije
54,71021,3,SPS,Socijalisticka Partija Srbije
55,71137,3,SPS,Socijalisticka Partija Srbije
56,71340,3,SPS,Socijalisticka Partija Srbije
57,79057,3,SPS,Socijalisticka Partija Srbije
58,80047,3,SPS,Socijalisticka Partija Srbije
59,70068,17,SRS,Srpska Radikalna stranka
60,71315,17,SRS,Srpska Radikalna stranka
61,80063,17,SRS,Srpska Radikalna stranka
62,70157,1,SNS,Srpska Napredna Stranka
63,70696,1,SNS,Srpska Napredna Stranka
64,70343,15,NS,Nova Srbija
65,70688,15,NS,Nova Srbija
66,70769,15,NS,Nova Srbija
67,70831,15,NS,Nova Srbija
68,71005,15,NS,Nova Srbija
69,71013,15,NS,Nova Srbija
70,71153,15,NS,Nova Srbija
71,71242,15,NS,Nova Srbija
72,70378,25,SPO,Srpski pokret obnove
73,71277,25,SPO,Srpski pokret obnove
74,70513,26,PZJ,Pokret za Jug
75,70530,4,URS,Ujedinjeni Regioni Srbije
76,70556,4,URS,Ujedinjeni Regioni Srbije
77,70734,4,URS,Ujedinjeni Regioni Srbije
78,71161,4,URS,Ujedinjeni Regioni Srbije
79,71506,4,URS,Ujedinjeni Regioni Srbije
80,70564,10,GGZZI,Grupa Gradjana Zajedno za Ivanjicu
81,70637,8,GGzVM,Grupa Gradjana Veroljub Matic
82,70700,7,DSS,Demokratska stranke Srbije
83,71226,7,DSS,Demokratska stranke Srbije
84,71234,7,DSS,Demokratska stranke Srbije
85,71285,7,DSS,Demokratska stranke Srbije
86,80403,7,DSS,Demokratska stranke Srbije
87,70815,35,GGGJ,"Grupa Gradjana ""Gornja Jablanica"""
88,70874,31,SDPS,Socijaldemokratska partija Srbije Rasim Ljajic
89,70882,37,G17+,G sedamnaest plus
90,70939,30,KzP,Koalicija za Pirot
91,70963,18,DPA,Demokratska partija albanaca
92,70980,27,SDzP,Sandzacka demokratska partija
93,71072,27,SDzP,Sandzacka demokratska partija
94,71064,23,USS,Ujedinjena seljacka stranka
95,71200,13,JS,Jedinstvena Srbija
96,80071,6,SVM,Savez vojvodjanskih madjara
97,80110,6,SVM,Savez vojvodjanskih madjara
98,80195,6,SVM,Savez vojvodjanskih madjara
99,80292,39,GGMS,Grupa Gradjana Milorad Soldatovic
100,80373,33,GGZROS,"Grupa Gradjana ""Za razvoj opstine Secanj"""
101,80446,40,DSVM,Demokratski Savez Vojvodjanskih Madjara
