,,"Novo Postavljanje Predsednika Opstine? (neovisno od toga da li je nova osoba, cisto da li se glasalo",Isti predsednik kao pre?,Promena Partije iz Koje je Predsednik? Neovisno od promene samog predsednika,Ime Novog Predsednika,MB Partije,Ime Partije Novog Predsednika,MB Prethodne Partijske Pripadnosti Predsednika,Ime Prethodne Partijske Pripadnosti Predsednika ,Datum Dogadjaja
,,"0 - ne, 1 - da",,"0 - ne, 1 - da",bez latinicnih/ cirilicnih slova,vidite sifarnik,,,,Dan/Mesec/Godina
mun_id,mun,appointment,same_person,party_change,pres_name,party_id,party_abr,prior_party_id,prior_party_name,date
70017,Aleksandrovac,0,1,1,Jugoslav Stajkovac,46,GGZBZ,,,2-Jun-2014
70017,Aleksandrovac,1,1,1,Jugoslav Stajkovac,4,URS,,,24-Aug-2013
70017,Aleksandrovac,1,1,0,Dragan Blagojevic,1,SNS,,,20-Mar-2013
70017,Aleksandrovac,1,0,1,Dragan Blagojevic,1,SNS,,,17-Sep-2012
70017,Aleksandrovac,1,0,1,Jugoslav Stajkovac,47,GGPZZ,,,5-Sep-2012
70017,Aleksandrovac,1,0,1,Zoran Bojovic,1,SNS,,,1-Jun-2012
70017,Aleksandrovac,1,1,0,Jugoslav Stajkovac,47,GGPZZ,,,20-May-2012
70017,Aleksandrovac,1,1,0,Jugoslav Stajkovac,47,GGPZZ,,,1-Jul-2008
70025,Aleksinac,1,0,1,Nenad Stankovic,1,SNS,,,24-Jul-2012
70025,Aleksinac,1,0,,Ivan Dimic,7,DSS,,,15-Dec-2008
70033,Arandjelovac,1,0,1,Bojan Radovic,1,SNS,2,DS,29-Aug-2012
70033,Arandjelovac,1,0,1,Vlada Gajic,2,DS,17,SRS,23-May-2008
70041,Arilje,1,0,1,Milan Nikolic,17,SRS,,,26-Jun-2015
70041,Arilje,1,0,1,Zoran Todorovic,1,SNS,,,31-May-2012
70041,Arilje,1,1,0,Mirjana Avakumic,2,DS,,,10-May-2008
70050,Babusnica,1,0,1,Sasa Stamenkovic,1,SNS,3,SPS,6-Aug-2012
70050,Babusnica,1,,,Zlatko Arsic,3,SPS,,,20-May-2008
70068,Bajina Basta,1,0,1,Radomir Filipovic,1,SNS,17,SRS,25-Mar-2014
70068,Bajina Basta,1,0,0,Zlatan Jovanovic,17,SRS,17,SRS,6-Jun-2011
70076,Batocina,1,1,0,Radisa Milosevic,2,DS,,,1-Aug-2012
70076,Batocina,1,1,0,Radisa MIlosevic,2,DS,,,28-May-2008
70084,Bela Palanka,0,1,1,Goran Miljkovic,19,SDS,,,9-Feb-2014
70084,Bela Palanka,1,0,1,Goran Miljkovic,2,DS,,,6-Jun-2012
70084,Bela Palanka,1,0,,Aleksandar Zivkovic,3,SPS,,,5-Jul-2008
70092,Beograd-Barajevo,,,,,,,,,
70106,Beograd-Vozdovac,,,,,,,,,
70122,Beograd-Grocka,,,,,,,,,
70144,Beograd-Vracar,,,,,,,,,
70149,Beograd-Zvezdara,1,1,0,Edip Serifov,2,DS,2,DS,11-Jun-2014
70149,Beograd-Zvezdara,1,0,0,Edip Serifov,2,DS,2,DS,15-May-2012
70149,Beograd-Zvezdara,1,,,Milan Popovic,2,DS,,,9-Jul-2008
