name_abr,party_id,name_full,opo11,opo12,opo13,in_gov11,in_gov12,ingov13,fringe13,ingov14,coalition12,coalition13,national_satellite,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,ag3_name_abr,ag3_party_id,ag3_name_full,nat_party
Partija Nejasna,-1,Partija Nejasna,0,0,0,0,0,0,0,0,other,other,0,Unclear,-1,Party Unclear,Unclear,-1,Party Unclear,Unclear,-1,Party Unclear,-1
SNS,1,Srpska Napredna Stranka,-1,-1,1,0,0,1,0,1,SNS,SNS,0,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
DS,2,Demokratska Stranka,1,1,-1,1,1,0,0,0,DS,DS,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
SPS,3,Socijalisticka Partija Srbije,1,1,1,1,1,1,0,1,SPS,SPS,0,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,SPS,3,Socijalisticka Partija Srbije,1
URS,4,Ujedinjeni Regioni Srbije,1,1,1,1,1,1,1,0,URS,URS,0,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,URS,4,Ujedinjeni Regioni Srbije,1
OGG,5,Opstinski Specificna Gradjanska Grupa,0,0,0,0,0,0,0,0,local,local,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
SVM,6,Savez vojvodjanskih madjara,0,0,0,0,0,0,0,0,ethnic,ethnic,1,EG,-3,Ethnic Group,SVM,6,Savez vojvodjanskih madjara,EG,-3,Ethnic Group,1
DSS,7,Demokratska stranke Srbije,-1,-1,0,0,0,0,0,0,local,local,0,DSS,7,Demokratska stranke Srbije,DSS,7,Demokratska stranke Srbije,DSS,7,Demokratska stranke Srbije,1
GGzVM,8,Grupa Gradjana Veroljub Matic,0,0,0,0,0,0,0,0,local,local,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
GGMZ,9,Grupa Gradjana Milomir Zoric,0,0,0,0,0,0,0,0,local,local,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
GGZZI,10,Grupa Gradjana Zajedno za Ivanjicu,0,0,0,0,0,0,0,0,local,local,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
PS,11,Pokret Socijalista,-1,-1,0,0,0,0,0,1,SNS,SNS,1,PS,11,Pokret Socijalista,PS,11,Pokret Socijalista,PS,11,Pokret Socijalista,1
PSS,12,Pokret Snaga Srbije,-1,-1,1,0,0,1,1,0,SNS,SNS,1,PSS,12,Pokret Snaga Srbije,PSS,12,Pokret Snaga Srbije,PSS,12,Pokret Snaga Srbije,1
JS,13,Jedinstvena Srbija,1,1,1,1,1,1,1,1,SPS,SPS,1,JS,13,Jedinstvena Srbija,JS,13,Jedinstvena Srbija,JS,13,Jedinstvena Srbija,1
MP,14,Madjarski pokret,0,0,0,0,0,0,0,0,ethnic,ethnic,0,EG,-3,Ethnic Group,LP,-4,Local Party,EG,-3,Ethnic Group,0
NS,15,Nova Srbija,-1,-1,1,0,0,1,1,0,SNS,SNS,1,NS,15,Nova Srbija,NS,15,Nova Srbija,NS,15,Nova Srbija,1
NPS,16,Narodni Pokret Srbije,0,0,0,0,0,0,0,0,other,other,0,NPS,16,Narodni Pokret Srbije,NPS,16,Narodni Pokret Srbije,LP,-4,Local Party,1
SRS,17,Srpska Radikalna stranka,-1,-1,-1,0,0,0,0,0,other,other,0,SRS,17,Srpska Radikalna stranka,SRS,17,Srpska Radikalna stranka,SRS,17,Srpska Radikalna stranka,1
DPA,18,Demokratska partija albanaca,0,0,0,0,0,0,0,0,ethnic,ethnic,0,EG,-3,Ethnic Group,LP,-4,Local Party,EG,-3,Ethnic Group,0
SDS,19,Socijaldemokratska stranka,0,0,-1,0,0,0,0,0,other,other,0,SDS,19,Socijaldemokratska stranka,SDS,19,Socijaldemokratska stranka,SDS,19,Socijaldemokratska stranka,1
LDP,20,Liberalno-demokratska partija,1,1,-1,1,1,0,0,0,other,other,0,LDP,20,Liberalno-demokratska partija,LDP,20,Liberalno-demokratska partija,LDP,20,Liberalno-demokratska partija,1
SNP,21,Srpska narodna partija,0,0,0,0,0,0,0,0,other,other,0,SNP,21,Srpska narodna partija,SNP,21,Srpska narodna partija,SNP,21,Srpska narodna partija,1
GSM,22,Gradjanski savez madjara,0,0,0,0,0,0,0,0,ethnic,ethnic,0,EG,-3,Ethnic Group,LP,-4,Local Party,EG,-3,Ethnic Group,0
USS,23,Ujedinjena seljacka stranka,0,0,0,0,0,0,0,0,local,local,0,USS,23,Ujedinjena seljacka stranka,LP,-4,Local Party,LP,-4,Local Party,0
N,24,Nezavistan,0,0,0,0,0,0,0,0,other,other,0,Unclear,-1,Party Unclear,Unclear,-1,Party Unclear,Unclear,-1,Party Unclear,-1
SPO,25,Srpski pokret obnove,1,1,0,1,1,0,0,1,other,other,0,SPO,25,Srpski pokret obnove,SPO,25,Srpski pokret obnove,SPO,25,Srpski pokret obnove,1
PZJ,26,Pokret za Jug,0,0,0,0,0,0,0,0,local,local,0,PZJ,26,Pokret za Jug,LP,-4,Local Party,LP,-4,Local Party,0
SDzP,27,Sandzacka demokratska partija,0,0,0,0,0,0,0,0,ethnic,ethnic,0,SDzP,27,Sandzacka demokratska partija,LP,-4,Local Party,EG,-3,Ethnic Group,0
GGVM,28,Grupa Gradjana Vredna Mitrovica,0,0,0,0,0,0,0,0,local,local,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
PzLP,29,Pokret za Loznicu i Podrinje,0,0,0,0,0,0,0,0,local,local,0,PzLP,29,Pokret za Loznicu i Podrinje,LP,-4,Local Party,LP,-4,Local Party,0
KzP,30,Koalicija za Pirot,0,0,1,0,0,1,1,0,URS,URS,1,KzP,30,Koalicija za Pirot,KzP,30,Koalicija za Pirot,KzP,30,Koalicija za Pirot,0
SDPS,31,Socijaldemokratska partija Srbije Rasim Ljajic,1,1,1,1,1,1,1,1,DS,SNS,1,SDPS,31,Socijaldemokratska partija Srbije Rasim Ljajic,SDPS,31,Socijaldemokratska partija Srbije Rasim Ljajic,SDPS,31,Socijaldemokratska partija Srbije Rasim Ljajic,1
SDA,32,Stranka demokratske akcije Sandzaka,0,0,1,1,1,1,1,0,ethnic,ethnic,0,SDA,32,Stranka demokratske akcije Sandzaka,LP,-4,Local Party,EG,-3,Ethnic Group,0
GGZROS,33,"Grupa Gradjana ""Za razvoj opstine Secanj""",0,0,0,0,0,0,0,0,local,SNS,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
GGZZL,34,"Grupa Gradjana ""Za zivot Lapova""",0,0,0,0,0,0,0,0,local,local,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
GGGJ,35,"Grupa Gradjana ""Gornja Jablanica""",0,0,0,0,0,0,0,0,local,local,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
GGCB,36,Grupa Gradjana Cedomir Bozic,0,0,0,0,0,0,0,0,local,local,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
G17+,37,G sedamnaest plus,1,1,1,1,1,1,1,0,URS,URS,0,G17+,37,G sedamnaest plus,G17+,37,G sedamnaest plus,G17+,37,G sedamnaest plus,1
GGR,38,Grupa Gradjana Ravanica,0,0,0,0,0,0,0,0,local,local,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
