mun_id,norm_percent_change,ingov11,ingov13,opo11,opo13,gov_change,mun
70289,205.746965738,1.0,1.0,1.0,1.0,2aligned both years,Bogatic
70408,200.0,1.0,0.0,1.0,-1.0,4stopped being aligned,Vladimirci
70718,200.0,1.0,1.0,1.0,1.0,2aligned both years,Lebane
70416,200.0,1.0,1.0,1.0,1.0,2aligned both years,Vladicin Han
70335,184.921493494,0.0,0.0,-1.0,0.0,3unaligned both years,Bosilegrad
71161,183.210752909,1.0,1.0,1.0,1.0,2aligned both years,Trgoviste
71226,160.993489517,0.0,0.0,-1.0,0.0,3unaligned both years,Crna Trava
70459,129.528923215,1.0,1.0,1.0,1.0,2aligned both years,Vrnjacka Banja
71137,113.033295853,1.0,1.0,1.0,1.0,2aligned both years,Surdulica
80411,112.643166033,1.0,0.0,1.0,-1.0,4stopped being aligned,Sremski Karlovci
70777,111.812687588,1.0,1.0,1.0,1.0,2aligned both years,Ljubovija
70050,110.282667707,1.0,1.0,1.0,1.0,2aligned both years,Babusnica
71005,103.700369228,0.0,1.0,-1.0,1.0,1became aligned,Razanj
70688,99.2693439553,0.0,1.0,-1.0,1.0,1became aligned,Kursumlija
70793,97.3441655434,1.0,1.0,1.0,1.0,2aligned both years,Mali Zvornik
70475,96.8160502472,1.0,0.0,1.0,-1.0,4stopped being aligned,Golubac
70343,96.3128578511,0.0,1.0,-1.0,1.0,1became aligned,Brus
80390,95.5472215614,1.0,1.0,1.0,1.0,2aligned both years,Srbobran
80080,92.1768378521,1.0,0.0,1.0,-1.0,4stopped being aligned,Backi Petrovac
70262,91.0463460762,1.0,0.0,1.0,0.0,4stopped being aligned,Blace
70815,87.0704973054,0.0,0.0,0.0,0.0,3unaligned both years,Medvedja
70866,86.9928024797,1.0,1.0,1.0,1.0,2aligned both years,Nova Varos
71064,86.6772680184,0.0,0.0,0.0,0.0,3unaligned both years,Svrljig
70530,86.4962763729,1.0,1.0,1.0,1.0,2aligned both years,zagubica
70572,85.3629451343,1.0,1.0,1.0,1.0,2aligned both years,Kladovo
70513,82.8984749455,0.0,0.0,0.0,0.0,3unaligned both years,Doljevac
70831,82.2767111853,0.0,1.0,-1.0,1.0,1became aligned, Mionica
71218,82.2046684053,1.0,1.0,1.0,1.0,2aligned both years,Ub
70971,81.5191791763,0.0,1.0,-1.0,1.0,1became aligned,Priboj
70661,80.5632395641,0.0,1.0,-1.0,1.0,1became aligned,Krupanj
70319,80.5091870684,1.0,1.0,1.0,1.0,2aligned both years,Boljevac
70912,79.3857502012,1.0,1.0,1.0,1.0,2aligned both years,Petrovac
70068,78.2116270063,0.0,0.0,-1.0,-1.0,3unaligned both years,Bajina Basta
70807,77.0988281462,1.0,1.0,1.0,1.0,2aligned both years,Malo Crnice
70378,76.4283461185,1.0,0.0,1.0,0.0,4stopped being aligned,Varvarin
71072,75.195554044,0.0,1.0,0.0,1.0,1became aligned,Sjenica
70505,74.5103309256,1.0,0.0,1.0,0.0,4stopped being aligned,Dimitrovgrad
71030,74.3386715266,1.0,1.0,1.0,1.0,2aligned both years,Rekovac
70084,74.2868562061,1.0,0.0,1.0,-1.0,4stopped being aligned,Bela Palanka
70394,73.3079354786,0.0,0.0,0.0,0.0,3unaligned both years,Veliko Gradiste
70734,72.8412438478,1.0,1.0,1.0,1.0,2aligned both years,Loznica
71021,71.3777462176,1.0,1.0,1.0,1.0,2aligned both years,Raska
70637,70.5052210283,0.0,1.0,0.0,1.0,1became aligned,Koceljeva
80306,69.2654646204,1.0,1.0,1.0,1.0,2aligned both years,Odzaci
71129,68.7278993555,1.0,0.0,1.0,-1.0,4stopped being aligned,Sokobanja
71013,68.6077582235,0.0,1.0,-1.0,1.0,1became aligned,Raca
70017,67.4124636582,0.0,1.0,0.0,1.0,1became aligned,Aleksandrovac
70696,66.849732748,0.0,1.0,-1.0,1.0,1became aligned,Kucevo
70521,65.0395213765,1.0,1.0,1.0,1.0,2aligned both years,zabari
71200,64.7673498393,1.0,1.0,1.0,1.0,2aligned both years,cuprija
71234,64.2966197223,0.0,0.0,-1.0,0.0,3unaligned both years,cajetina
70467,62.2116728798,1.0,1.0,1.0,1.0,2aligned both years,Gadzin Han
70025,60.3988155433,0.0,1.0,-1.0,1.0,1became aligned,Aleksinac
70998,59.5629598514,,,,,,Prokuplje
70386,59.189838564,0.0,0.0,-1.0,0.0,3unaligned both years,Velika Plana
70955,58.9568314936,1.0,0.0,1.0,-1.0,4stopped being aligned,Pozega
71102,58.9316439493,1.0,0.0,1.0,-1.0,4stopped being aligned,Smederevska Palanka
70351,58.0557498481,0.0,0.0,0.0,0.0,3unaligned both years,Bujanovac
70980,57.7163077518,0.0,0.0,-1.0,0.0,3unaligned both years,Prijepolje
70882,57.6382838086,1.0,1.0,1.0,1.0,2aligned both years,Osecina
70769,56.1747524592,0.0,1.0,-1.0,1.0,1became aligned,Ljig
71188,54.288468618,1.0,1.0,0.0,1.0,2aligned both years,Tutin
70483,53.2486681375,1.0,0.0,1.0,-1.0,4stopped being aligned,Gornji Milanovac
71277,52.9837622369,1.0,0.0,1.0,-1.0,4stopped being aligned,Lapovo
80187,50.9699849822,1.0,0.0,1.0,-1.0,4stopped being aligned,Irig
70602,50.4646667724,1.0,1.0,1.0,1.0,2aligned both years,Knjazevac
70548,49.8507145713,1.0,0.0,1.0,-1.0,4stopped being aligned,zitoradja
70823,49.8385428592,1.0,1.0,1.0,1.0,2aligned both years,Merosina
70904,49.7789245865,1.0,0.0,1.0,-1.0,4stopped being aligned,Paracin
71170,49.5068942634,1.0,1.0,1.0,1.0,2aligned both years,Trstenik
80454,49.3287002065,1.0,1.0,1.0,1.0,2aligned both years,Titel
71196,48.9856425525,1.0,0.0,1.0,-1.0,4stopped being aligned,cicevac
70424,48.8032405098,1.0,1.0,1.0,1.0,2aligned both years,Vlasotince
80276,47.1115747766,1.0,0.0,1.0,-1.0,4stopped being aligned,Novi Knezevac
70785,46.1160134562,1.0,0.0,1.0,-1.0,4stopped being aligned,Majdanpek
80055,45.2511745195,1.0,0.0,1.0,-1.0,4stopped being aligned,Bac
70360,45.2427959804,1.0,1.0,1.0,1.0,2aligned both years,Valjevo
80047,45.1082679664,1.0,1.0,1.0,1.0,2aligned both years,Apatin
80217,42.387244813,1.0,0.0,1.0,-1.0,4stopped being aligned,Kovacica
80241,42.0784275087,0.0,1.0,0.0,1.0,1became aligned,Mali Idjos
80098,41.5631314777,1.0,0.0,1.0,-1.0,4stopped being aligned,Bela Crkva
70963,39.7413626713,0.0,0.0,0.0,0.0,3unaligned both years,Presevo
80225,38.981200103,1.0,1.0,1.0,1.0,2aligned both years,Kovin
70556,38.6271946584,1.0,1.0,1.0,1.0,2aligned both years,Zajecar
80349,37.1444146761,0.0,0.0,0.0,-1.0,3unaligned both years,Plandiste
80136,36.8407826023,1.0,0.0,1.0,-1.0,4stopped being aligned,zabalj
80039,35.3496632502,1.0,0.0,1.0,-1.0,4stopped being aligned,Alibunar
70599,35.3062519835,1.0,1.0,1.0,1.0,2aligned both years,Knic
70874,35.1558516364,1.0,1.0,1.0,1.0,2aligned both years,Novi Pazar
80292,34.9382761634,0.0,0.0,0.0,0.0,3unaligned both years,Opovo
70700,34.6683007828,0.0,1.0,-1.0,1.0,1became aligned, Lajkovac
70726,34.2621697157,1.0,1.0,1.0,1.0,2aligned both years,Leskovac
70491,32.3901784442,1.0,1.0,1.0,1.0,2aligned both years,Despotovac
80420,31.7215036972,1.0,1.0,1.0,1.0,2aligned both years,Stara Pazova
80497,31.2493824992,1.0,1.0,1.0,1.0,2aligned both years,sid
79057,30.8638067609,1.0,1.0,1.0,1.0,2aligned both years,Grad Vranje
80462,30.2619097808,1.0,0.0,1.0,-1.0,4stopped being aligned,Vrbas
80250,29.7805034938,0.0,1.0,0.0,1.0,1became aligned,Nova Crnja
80489,29.6974355391,1.0,0.0,1.0,0.0,4stopped being aligned,coka
80071,28.6610439318,0.0,0.0,0.0,0.0,3unaligned both years,Backa Topola
70939,28.1021497579,0.0,1.0,0.0,1.0,1became aligned,Pirot
70327,27.9355521198,1.0,1.0,1.0,1.0,2aligned both years,Bor
71056,27.4241802664,1.0,0.0,1.0,-1.0,4stopped being aligned,Svilajnac
70840,27.1648176006,1.0,1.0,1.0,1.0,2aligned both years,Negotin
70033,26.9477669146,1.0,1.0,1.0,1.0,2aligned both years,Arandjelovac
80446,26.4437081675,0.0,0.0,0.0,0.0,3unaligned both years,Temerin
80403,26.4241589986,0.0,0.0,-1.0,0.0,3unaligned both years,Sremska Mitrovica
80063,25.3528339286,0.0,1.0,-1.0,1.0,1became aligned,Backa Palanka
70742,25.0803384534,1.0,0.0,1.0,-1.0,4stopped being aligned,Lucani
71153,24.1540412467,0.0,1.0,-1.0,1.0,1became aligned,Topola
70670,22.3171012181,1.0,1.0,1.0,1.0,2aligned both years,Krusevac
80357,21.5938109065,1.0,0.0,1.0,-1.0,4stopped being aligned,Ruma
80128,18.4021427646,1.0,0.0,1.0,0.0,4stopped being aligned,Vrsac
80268,18.3463632376,1.0,0.0,1.0,-1.0,4stopped being aligned,Novi Becej
71269,17.952703032,1.0,0.0,1.0,-1.0,4stopped being aligned,sabac
80322,17.7441295395,1.0,1.0,1.0,1.0,2aligned both years,Pecinci
80381,16.5108840707,1.0,0.0,1.0,-1.0,4stopped being aligned, Sombor
80233,16.2027353178,1.0,1.0,1.0,1.0,2aligned both years,Kula
71099,14.0353620776,1.0,1.0,1.0,1.0,2aligned both years,Smederevo
70076,13.5856711422,1.0,0.0,1.0,-1.0,4stopped being aligned,Batocina
70629,11.891220593,1.0,1.0,1.0,1.0,2aligned both years,Kosjeric
80110,9.2104819399,0.0,1.0,0.0,1.0,1became aligned,Becej
80373,8.54928808434,0.0,0.0,0.0,-1.0,3unaligned both years,Secanj
80209,8.29237143409,1.0,0.0,1.0,-1.0,4stopped being aligned,Kikinda
70041,4.6176975945,1.0,1.0,1.0,1.0,2aligned both years,Arilje
80101,4.11456232352,1.0,0.0,1.0,-1.0,4stopped being aligned, Beocin
79022,0.2611440755,1.0,1.0,1.0,1.0,2aligned both years,Grad Nis
80144,-0.451752933819,1.0,1.0,1.0,1.0,2aligned both years,zitiste
80365,-1.42376767945,1.0,0.0,1.0,0.0,4stopped being aligned,Senta
70645,-1.5220974181,0.0,1.0,0.0,1.0,1became aligned,Kragujevac - grad
71242,-2.45151674406,0.0,1.0,-1.0,1.0,1became aligned,cacak
80012,-3.21788345851,1.0,0.0,1.0,-1.0,4stopped being aligned,Ada
80195,-12.236318801,0.0,0.0,0.0,0.0,3unaligned both years,Kanjiza
80314,-12.3626657938,1.0,1.0,1.0,1.0,2aligned both years,Pancevo
79049,-16.0169926878,,,,,,Grad Pozarevac
80152,-17.2608148807,1.0,1.0,1.0,1.0,2aligned both years,Zrenjanin
80438,-19.139467705,1.0,0.0,1.0,-1.0,4stopped being aligned,Subotica
80179,-19.1604880831,1.0,0.0,1.0,-1.0,4stopped being aligned,Indjija
71145,-24.5576539212,1.0,1.0,1.0,1.0,2aligned both years,Uzice
89010,-33.1277417091,,,,,,Novi Sad-grad 
71048,-39.6617311027,1.0,1.0,1.0,1.0,2aligned both years,Jagodina
70564,-40.0617159724,0.0,0.0,0.0,0.0,3unaligned both years,Ivanjica
70653,-64.3543307195,1.0,1.0,1.0,1.0,2aligned both years,Kraljevo
79014,-90.9206295785,1.0,0.0,1.0,-1.0,4stopped being aligned,Grad Beograd
70297,-100.0,1.0,1.0,1.0,1.0,2aligned both years,Bojnik
