mun_id,norm_percent_change12_13,ingov12,ingov13,gov_change12_13,mun
70416,200.0,1.0,1.0,2aligned both years12_13,Vladicin Han
70408,200.0,1.0,0.0,4stopped being aligned12_13,Vladimirci
79014,200.0,1.0,0.0,4stopped being aligned12_13,Grad Beograd
80411,52.2528101484,1.0,0.0,4stopped being aligned12_13,Sremski Karlovci
70505,30.0146009762,1.0,0.0,4stopped being aligned12_13,Dimitrovgrad
70734,28.8462314532,1.0,1.0,2aligned both years12_13,Loznica
70483,21.917931374,1.0,0.0,4stopped being aligned12_13,Gornji Milanovac
80128,21.6499726287,1.0,0.0,4stopped being aligned12_13,Vrsac
80446,18.9594214824,0.0,0.0,3unaligned both years12_13,Temerin
80403,16.4684312121,0.0,0.0,3unaligned both years12_13,Sremska Mitrovica
70068,16.2554247441,0.0,0.0,3unaligned both years12_13,Bajina Basta
70327,16.1021656419,1.0,1.0,2aligned both years12_13,Bor
70491,15.846130956,1.0,1.0,2aligned both years12_13,Despotovac
80225,15.8166725326,1.0,1.0,2aligned both years12_13,Kovin
79022,15.3229026064,1.0,1.0,2aligned both years12_13,Grad Nis
70785,14.3163418771,1.0,0.0,4stopped being aligned12_13,Majdanpek
70335,13.5340163324,0.0,0.0,3unaligned both years12_13,Bosilegrad
70840,12.7476077178,1.0,1.0,2aligned both years12_13,Negotin
80055,12.5225948172,1.0,0.0,4stopped being aligned12_13,Bac
70319,12.487741531,1.0,1.0,2aligned both years12_13,Boljevac
71005,12.4069174175,0.0,1.0,1became aligned12_13,Razanj
70017,12.0976410743,0.0,1.0,1became aligned12_13,Aleksandrovac
70041,11.9009568709,1.0,1.0,2aligned both years12_13,Arilje
71153,11.7970240748,0.0,1.0,1became aligned12_13,Topola
71013,11.5913067545,0.0,1.0,1became aligned12_13,Raca
70289,11.4900667527,1.0,1.0,2aligned both years12_13,Bogatic
71200,11.099737004,1.0,1.0,2aligned both years12_13,cuprija
70718,10.8970445534,1.0,1.0,2aligned both years12_13,Lebane
70572,10.548465393,1.0,1.0,2aligned both years12_13,Kladovo
71137,10.4796146146,1.0,1.0,2aligned both years12_13,Surdulica
70351,9.94311100831,0.0,0.0,3unaligned both years12_13,Bujanovac
70998,9.74830965359,,,,Prokuplje
80357,9.56246550402,1.0,0.0,4stopped being aligned12_13,Ruma
70912,9.52198823714,1.0,1.0,2aligned both years12_13,Petrovac
71030,9.13782472971,1.0,1.0,2aligned both years12_13,Rekovac
70378,9.08291180998,1.0,0.0,4stopped being aligned12_13,Varvarin
80390,8.99900938356,1.0,1.0,2aligned both years12_13,Srbobran
70475,8.9039567923,1.0,0.0,4stopped being aligned12_13,Golubac
71218,8.8341883863,1.0,1.0,2aligned both years12_13,Ub
70637,8.63698439747,0.0,1.0,1became aligned12_13,Koceljeva
80349,8.63067655236,0.0,0.0,3unaligned both years12_13,Plandiste
71161,8.60095123917,1.0,1.0,2aligned both years12_13,Trgoviste
70661,8.46161347917,0.0,1.0,1became aligned12_13,Krupanj
71234,8.30660408417,0.0,0.0,3unaligned both years12_13,cajetina
70394,8.09304078462,0.0,0.0,3unaligned both years12_13,Veliko Gradiste
71056,7.98602572691,1.0,0.0,4stopped being aligned12_13,Svilajnac
71188,7.79023768268,1.0,1.0,2aligned both years12_13,Tutin
71242,7.73146463241,0.0,1.0,1became aligned12_13,cacak
70700,7.7193093416,0.0,1.0,1became aligned12_13, Lajkovac
70904,7.70626259154,1.0,0.0,4stopped being aligned12_13,Paracin
70556,7.48886587907,1.0,1.0,2aligned both years12_13,Zajecar
70025,7.09488826804,0.0,1.0,1became aligned12_13,Aleksinac
80098,5.84307666815,1.0,0.0,4stopped being aligned12_13,Bela Crkva
70688,5.83214928483,0.0,1.0,1became aligned12_13,Kursumlija
80268,5.79517933341,1.0,0.0,4stopped being aligned12_13,Novi Becej
70815,5.48163785319,0.0,0.0,3unaligned both years12_13,Medvedja
71226,5.41878041205,0.0,0.0,3unaligned both years12_13,Crna Trava
89010,4.9413481661,,,,Novi Sad-grad 
71021,4.68739625982,1.0,1.0,2aligned both years12_13,Raska
80292,4.68142801218,0.0,0.0,3unaligned both years12_13,Opovo
70726,4.62336553942,1.0,1.0,2aligned both years12_13,Leskovac
80217,4.60269711182,1.0,0.0,4stopped being aligned12_13,Kovacica
70769,4.57759717723,0.0,1.0,1became aligned12_13,Ljig
71269,4.36951355081,1.0,0.0,4stopped being aligned12_13,sabac
70696,4.32475681139,0.0,1.0,1became aligned12_13,Kucevo
70670,4.24998156717,1.0,1.0,2aligned both years12_13,Krusevac
70459,3.9052163345,1.0,1.0,2aligned both years12_13,Vrnjacka Banja
70386,3.90074575185,0.0,0.0,3unaligned both years12_13,Velika Plana
80039,3.67640014562,1.0,0.0,4stopped being aligned12_13,Alibunar
70599,3.64547986832,1.0,1.0,2aligned both years12_13,Knic
79049,3.61352092417,,,,Grad Pozarevac
70793,3.61125456667,1.0,1.0,2aligned both years12_13,Mali Zvornik
70530,3.47935969882,1.0,1.0,2aligned both years12_13,zagubica
70882,3.42402633563,1.0,1.0,2aligned both years12_13,Osecina
80110,3.18888873715,0.0,1.0,1became aligned12_13,Becej
70807,3.05482345296,1.0,1.0,2aligned both years12_13,Malo Crnice
71129,3.01270395349,1.0,0.0,4stopped being aligned12_13,Sokobanja
70343,2.8861241874,0.0,1.0,1became aligned12_13,Brus
80233,2.41107856364,1.0,1.0,2aligned both years12_13,Kula
79057,2.24661835229,1.0,1.0,2aligned both years12_13,Grad Vranje
80462,2.10248043124,1.0,0.0,4stopped being aligned12_13,Vrbas
71064,1.67508822874,0.0,0.0,3unaligned both years12_13,Svrljig
71277,1.40070715313,1.0,0.0,4stopped being aligned12_13,Lapovo
71102,1.23572038392,1.0,0.0,4stopped being aligned12_13,Smederevska Palanka
80209,1.13059969282,1.0,0.0,4stopped being aligned12_13,Kikinda
70521,1.06919550927,1.0,1.0,2aligned both years12_13,zabari
70963,0.959701697816,0.0,0.0,3unaligned both years12_13,Presevo
71170,0.843423678446,1.0,1.0,2aligned both years12_13,Trstenik
70874,0.690284661083,1.0,1.0,2aligned both years12_13,Novi Pazar
70742,0.611241870365,1.0,0.0,4stopped being aligned12_13,Lucani
70645,0.527794634972,0.0,1.0,1became aligned12_13,Kragujevac - grad
80063,0.463126760165,0.0,1.0,1became aligned12_13,Backa Palanka
80047,-0.363424029562,1.0,1.0,2aligned both years12_13,Apatin
70513,-0.945350884231,0.0,0.0,3unaligned both years12_13,Doljevac
70262,-0.998772181937,1.0,0.0,4stopped being aligned12_13,Blace
70050,-1.13372792822,1.0,1.0,2aligned both years12_13,Babusnica
80306,-1.27213269117,1.0,1.0,2aligned both years12_13,Odzaci
80071,-1.30691443478,0.0,0.0,3unaligned both years12_13,Backa Topola
80101,-1.47697909326,1.0,0.0,4stopped being aligned12_13, Beocin
70424,-1.55509393686,1.0,1.0,2aligned both years12_13,Vlasotince
80241,-2.09288114879,0.0,1.0,1became aligned12_13,Mali Idjos
71099,-2.15495263398,1.0,1.0,2aligned both years12_13,Smederevo
80012,-2.34976161188,1.0,0.0,4stopped being aligned12_13,Ada
70980,-2.41982411034,0.0,0.0,3unaligned both years12_13,Prijepolje
70831,-2.48784544881,0.0,1.0,1became aligned12_13, Mionica
80136,-2.57767498691,1.0,0.0,4stopped being aligned12_13,zabalj
70939,-2.68623746705,0.0,1.0,1became aligned12_13,Pirot
80489,-3.00379393597,1.0,0.0,4stopped being aligned12_13,coka
80420,-3.03138330897,1.0,1.0,2aligned both years12_13,Stara Pazova
80250,-3.39815695406,0.0,1.0,1became aligned12_13,Nova Crnja
70971,-3.44117590986,0.0,1.0,1became aligned12_13,Priboj
71072,-4.04258922146,0.0,1.0,1became aligned12_13,Sjenica
80454,-4.18764257695,1.0,1.0,2aligned both years12_13,Titel
80438,-4.27185564489,1.0,0.0,4stopped being aligned12_13,Subotica
70955,-4.79252490924,1.0,0.0,4stopped being aligned12_13,Pozega
80365,-4.83942908118,1.0,0.0,4stopped being aligned12_13,Senta
80195,-5.43685009066,0.0,0.0,3unaligned both years12_13,Kanjiza
