,Unnamed: 0,date,pres_name,mun,party_id,mun_id,name_abr,name_full,opo11,in_gov11,in_gov12,opo13,ingov13,fringe13,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,ag3_name_abr,ag3_party_id,ag3_name_full,nat_party
0,0,2008,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
1,1,2009,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
2,2,2010,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
3,3,2011,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
4,4,2012,Jugoslav Stajkovac,Aleksandrovac,1,70017,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
5,5,2013,Dragan Blagojevic,Aleksandrovac,1,70017,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
6,6,2013,Nenad Stankovic,Aleksinac,1,70025,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
7,7,2014,Nenad Stankovic,Aleksinac,1,70025,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
8,8,2015,Nenad Stankovic,Aleksinac,1,70025,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
9,9,2016,Nenad Stankovic,Aleksinac,1,70025,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
10,10,2013,Bojan Radovic,Arandjelovac,1,70033,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
11,11,2014,Bojan Radovic,Arandjelovac,1,70033,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
12,12,2015,Bojan Radovic,Arandjelovac,1,70033,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
13,13,2016,Bojan Radovic,Arandjelovac,1,70033,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
