mun_id,year,average_wage
79014,2010,424.89
79014,2011,469.86
79014,2012,511.21
79014,2013,541.03
79014,2014,554.29
70092,2010,293.72
70092,2011,318.74
70092,2012,347.39
70092,2013,380.26
70092,2014,375.03
70106,2010,362.04
70106,2011,378.01
70106,2012,404.49
70106,2013,425.88
70106,2014,449.62
70114,2010,454.19
70114,2011,491.13
70114,2012,536.55
70114,2013,571.94
70114,2014,599.58
70122,2010,313.47
70122,2011,330.0
70122,2012,369.6
70122,2013,408.85
70122,2014,392.76
70149,2010,367.52
70149,2011,407.76
70149,2012,432.66
70149,2013,462.37
70149,2014,464.78
70157,2010,429.02
70157,2011,435.91
70157,2012,473.29
70157,2013,487.38
70157,2014,504.04
70165,2010,470.93
70165,2011,558.79
70165,2012,627.42
70165,2013,649.41
70165,2014,630.72
70173,2010,260.1
70173,2011,276.21
70173,2012,289.84
70173,2013,291.48
70173,2014,301.78
70181,2010,526.54
70181,2011,581.04
70181,2012,601.28
70181,2013,592.66
70181,2014,623.03
70190,2010,388.88
70190,2011,457.79
70190,2012,515.05
70190,2013,534.09
70190,2014,543.36
70203,2010,443.82
70203,2011,489.32
70203,2012,543.69
70203,2013,576.75
70203,2014,613.79
70211,2010,302.31
70211,2011,388.84
70211,2012,361.51
70211,2013,383.12
70211,2014,360.85
70220,2010,413.58
70220,2011,455.64
70220,2012,479.6
70220,2013,509.45
70220,2014,514.56
70238,2010,253.05
70238,2011,275.58
70238,2012,294.92
70238,2013,321.89
70238,2014,316.64
70246,2010,452.74
70246,2011,502.6
70246,2012,588.58
70246,2013,661.63
70246,2014,649.78
71293,2010,456.55
71293,2011,538.13
71293,2012,573.49
71293,2013,657.18
71293,2014,684.8
70254,2010,329.51
70254,2011,365.63
70254,2012,421.16
70254,2013,441.8
70254,2014,436.73
80381,2010,301.59
80381,2011,338.25
80381,2012,356.99
80381,2013,363.45
80381,2014,355.17
80047,2010,379.64
80047,2011,397.22
80047,2012,442.06
80047,2013,476.65
80047,2014,447.44
80233,2010,270.72
80233,2011,300.84
80233,2012,345.23
80233,2013,377.41
80233,2014,384.39
80306,2010,253.1
80306,2011,280.63
80306,2012,349.94
80306,2013,367.33
80306,2014,376.59
80314,2010,375.92
80314,2011,436.21
80314,2012,475.58
80314,2013,507.54
80314,2014,501.96
80039,2010,230.07
80039,2011,256.62
80039,2012,290.31
80039,2013,303.46
80039,2014,309.23
80098,2010,245.84
80098,2011,264.82
80098,2012,299.47
80098,2013,325.45
80098,2014,331.87
80128,2010,416.17
80128,2011,441.98
80128,2012,496.89
80128,2013,524.54
80128,2014,522.37
80217,2010,253.5
80217,2011,266.92
80217,2012,270.72
80217,2013,300.17
80217,2014,293.27
80225,2010,297.48
80225,2011,351.23
80225,2012,384.31
80225,2013,415.22
80225,2014,405.17
80292,2010,273.84
80292,2011,290.41
80292,2012,317.83
80292,2013,357.67
80292,2014,359.84
80349,2010,235.83
80349,2011,239.0
80349,2012,257.91
80349,2013,278.52
80349,2014,284.52
89010,2010,392.4
89010,2011,436.0
89010,2012,475.02
89010,2013,500.43
89010,2014,501.75
80284,2012,478.53
80284,2013,503.53
80284,2014,505.43
80519,2012,404.72
80519,2013,436.95
80519,2014,424.17
80055,2010,270.7
80055,2011,281.57
80055,2012,308.22
80055,2013,316.07
80055,2014,311.68
80063,2010,340.84
80063,2011,397.59
80063,2012,445.75
80063,2013,485.91
80063,2014,482.65
80080,2010,235.12
80080,2011,253.75
80080,2012,284.27
80080,2013,309.71
80080,2014,334.69
80101,2010,403.16
80101,2011,448.91
80101,2012,460.7
80101,2013,480.73
80101,2014,501.41
80110,2010,263.16
80110,2011,307.58
80110,2012,342.9
80110,2013,376.03
80110,2014,373.06
80462,2010,318.44
80462,2011,354.79
80462,2012,365.94
80462,2013,391.74
80462,2014,391.59
80136,2010,288.94
80136,2011,322.83
80136,2012,359.94
80136,2013,383.2
80136,2014,372.94
80390,2010,246.53
80390,2011,279.94
80390,2012,326.47
80390,2013,354.31
80390,2014,354.13
80411,2010,305.54
80411,2011,305.35
80411,2012,302.84
80411,2013,333.35
80411,2014,377.67
80446,2010,260.13
80446,2011,287.36
80446,2012,299.1
80446,2013,325.56
80446,2014,341.94
80454,2010,239.4
80454,2011,273.43
80454,2012,291.03
80454,2013,323.46
80454,2014,329.02
80209,2010,300.18
80209,2011,320.9
80209,2012,347.67
80209,2013,364.49
80209,2014,370.4
80012,2010,270.68
80012,2011,297.78
80012,2012,324.36
80012,2013,338.57
80012,2014,361.97
80195,2010,317.26
80195,2011,348.25
80195,2012,378.79
80195,2013,404.6
80195,2014,416.69
80276,2010,291.36
80276,2011,320.74
80276,2012,357.44
80276,2013,370.51
80276,2014,379.18
80365,2010,349.67
80365,2011,388.98
80365,2012,430.7
80365,2013,446.48
80365,2014,439.12
80489,2010,255.65
80489,2011,278.72
80489,2012,313.19
80489,2013,336.9
80489,2014,340.77
80438,2010,319.42
80438,2011,347.03
80438,2012,372.02
80438,2013,397.61
80438,2014,406.63
80071,2010,279.09
80071,2011,319.7
80071,2012,352.29
80071,2013,364.74
80071,2014,373.05
80241,2010,256.7
80241,2011,269.59
80241,2012,309.96
80241,2013,326.65
80241,2014,322.52
80152,2010,342.99
80152,2011,367.71
80152,2012,395.38
80152,2013,426.35
80152,2014,426.61
80144,2010,277.44
80144,2011,320.03
80144,2012,365.58
80144,2013,366.62
80144,2014,291.13
80250,2010,281.86
80250,2011,303.34
80250,2012,344.16
80250,2013,356.02
80250,2014,369.61
80268,2010,265.86
80268,2011,286.03
80268,2012,309.76
80268,2013,329.59
80268,2014,336.7
80373,2010,265.62
80373,2011,269.76
80373,2012,311.5
80373,2013,332.78
80373,2014,331.65
80403,2010,312.36
80403,2011,343.56
80403,2012,377.25
80403,2013,401.34
80403,2014,411.84
80179,2010,289.07
80179,2011,311.3
80179,2012,335.09
80179,2013,353.26
80179,2014,343.9
80187,2010,261.85
80187,2011,294.6
80187,2012,326.22
80187,2013,338.66
80187,2014,354.67
80322,2010,382.71
80322,2011,403.58
80322,2012,427.9
80322,2013,468.0
80322,2014,479.59
80357,2010,286.63
80357,2011,313.22
80357,2012,352.15
80357,2013,366.87
80357,2014,378.69
80420,2010,254.95
80420,2011,284.58
80420,2012,314.44
80420,2013,336.38
80420,2014,369.46
80497,2010,286.95
80497,2011,298.56
80497,2012,345.3
80497,2013,399.44
80497,2014,372.92
79065,2010,327.46
79065,2011,363.86
79065,2012,391.89
79065,2013,425.56
79065,2014,437.64
70041,2010,218.86
70041,2011,252.59
70041,2012,240.21
70041,2013,280.37
70041,2014,280.53
70068,2010,304.6
70068,2011,318.39
70068,2012,355.12
70068,2013,367.54
70068,2014,363.56
70629,2010,431.03
70629,2011,464.35
70629,2012,463.82
70629,2013,516.62
70629,2014,473.88
70866,2010,266.34
70866,2011,289.12
70866,2012,325.09
70866,2013,354.25
70866,2014,353.04
70955,2010,264.07
70955,2011,297.13
70955,2012,327.16
