,mun_id,mun,mun_type,area_km2,pop_total,total,active_total,active_employed,active_unemployed,active_unemp_former,active_unemp_firstjob,inactive_total,inactive_students,inactive_houshold,labor_pariticpation_rate,total_nat,serbs,albanians,bosnians,bulgarians,bunjevci,vlasi,goranci,yugoslavs,hungarians,macedonians,muslims,germans,roma,romanians,russians,rusini,slovaks,slovenians,ukranians,croats,montenegrins,rest,undeclared,regional_assoc,unkown,majority_nationality,wage_2010,wage_2011,wage_2012,wage_2013,wage_2014,employment_rate,employment_per_pop,share_serbian,pop_density
0,70017,Aleksandrovac,normal,387.0,25580.0,26522.0,10460.0,8884.0,1576.0,831.0,745.0,16062.0,2276.0,2786.0,0.394389563381,26522.0,25682.0,5.0,1.0,7.0,,,,6.0,,10.0,1.0,,84.0,2.0,3.0,,,1.0,,8.0,23.0,9.0,71.0,,609.0,serbs,22723.0,27557.0,31134.0,32973.0,31317.0,0.849330783939,0.347302580141,0.968328180379,66.0981912145
1,70025,Aleksinac,normal,707.0,49928.0,51863.0,19232.0,12909.0,6323.0,3512.0,2811.0,32631.0,3373.0,5744.0,0.37082313017,51863.0,47563.0,18.0,8.0,45.0,,21.0,13.0,49.0,16.0,98.0,37.0,6.0,1937.0,20.0,15.0,2.0,3.0,30.0,,50.0,68.0,35.0,474.0,9.0,1346.0,serbs,27703.0,30710.0,32531.0,36032.0,36954.0,0.671225041597,0.258552315334,0.917089254382,70.6195190948
2,70033,Arandjelovac,normal,376.0,45125.0,46225.0,18148.0,13721.0,4427.0,2755.0,1672.0,28077.0,3475.0,4182.0,0.392601406165,46225.0,44581.0,3.0,1.0,15.0,1.0,2.0,1.0,49.0,17.0,60.0,18.0,6.0,382.0,25.0,14.0,3.0,3.0,8.0,4.0,38.0,186.0,36.0,286.0,32.0,454.0,serbs,29348.0,32092.0,35968.0,37517.0,40324.0,0.75606127397,0.304066481994,0.964434829638,120.013297872
3,70041,Arilje,normal,349.0,18495.0,18792.0,9317.0,8318.0,999.0,668.0,331.0,9475.0,1575.0,849.0,0.49579608344,18792.0,18407.0,2.0,4.0,8.0,,,,4.0,2.0,9.0,10.0,,120.0,,3.0,1.0,1.0,,5.0,8.0,22.0,9.0,132.0,,45.0,serbs,21886.0,25259.0,24021.0,28037.0,28053.0,0.892776644843,0.449743173831,0.979512558536,52.994269341
4,70050,Babusnica,normal,529.0,11478.0,12307.0,4795.0,3180.0,1615.0,860.0,755.0,7512.0,659.0,1004.0,0.389615665881,12307.0,10933.0,1.0,1.0,632.0,,,,9.0,,5.0,1.0,3.0,244.0,3.0,,,,,,2.0,1.0,5.0,336.0,2.0,129.0,serbs,27603.0,26849.0,28105.0,28843.0,32205.0,0.663190823775,0.277051751176,0.888356220037,21.6975425331
5,70068,Bajina Basta,normal,673.0,25205.0,26022.0,11834.0,10148.0,1686.0,1119.0,567.0,14188.0,2042.0,2603.0,0.45476904158,26022.0,25638.0,8.0,1.0,1.0,,,1.0,17.0,3.0,13.0,9.0,1.0,1.0,1.0,10.0,,4.0,2.0,1.0,13.0,43.0,8.0,121.0,3.0,123.0,serbs,30460.0,31839.0,35512.0,36754.0,36356.0,0.857529153287,0.40261852807,0.985243255707,37.4517087667
6,70076,Batocina,normal,136.0,11427.0,11760.0,4235.0,3054.0,1181.0,744.0,437.0,7525.0,803.0,1538.0,0.360119047619,11760.0,11514.0,7.0,,1.0,,,,9.0,1.0,27.0,2.0,2.0,55.0,2.0,3.0,,3.0,,,6.0,18.0,9.0,74.0,3.0,24.0,serbs,24930.0,27127.0,28759.0,28732.0,29604.0,0.721133412043,0.26726174849,0.979081632653,84.0220588235
7,70084,Bela Palanka,normal,517.0,11559.0,12126.0,4296.0,2639.0,1657.0,994.0,663.0,7830.0,764.0,1161.0,0.354280059377,12126.0,10395.0,,,8.0,,,4.0,5.0,4.0,8.0,10.0,2.0,1418.0,,5.0,,1.0,,,4.0,5.0,8.0,144.0,,105.0,serbs,19677.0,22008.0,24359.0,26875.0,27594.0,0.614292364991,0.228306946968,0.85724888669,22.3578336557
8,70092,Beograd-Barajevo,city-district,213.0,27031.0,27110.0,10454.0,7792.0,2662.0,1872.0,790.0,16656.0,1614.0,2456.0,0.385614164515,27110.0,25496.0,16.0,7.0,9.0,,,28.0,36.0,10.0,85.0,35.0,6.0,252.0,10.0,12.0,2.0,7.0,10.0,6.0,55.0,109.0,32.0,266.0,7.0,614.0,serbs,29372.0,31874.0,34739.0,38026.0,37503.0,0.745360627511,0.288261625541,0.940464773146,126.906103286
9,70106,Beograd-Vozdovac,city-district,148.0,163764.0,158213.0,68744.0,56779.0,11965.0,8427.0,3538.0,89469.0,14489.0,6615.0,0.434502853748,158213.0,146607.0,125.0,137.0,102.0,10.0,29.0,328.0,678.0,163.0,727.0,324.0,39.0,1169.0,83.0,93.0,19.0,66.0,156.0,34.0,615.0,906.0,521.0,3619.0,119.0,1544.0,serbs,36204.0,37801.0,40449.0,42588.0,44962.0,0.82594844641,0.346712342151,0.926643196198,1106.51351351
