,mun_id,func_div_name_english,year,plan,actual,plan_share,actual_share,change_plan_abs,change_actual_abs,change_plan_rel,change_actual_rel
0,70033,Defence,2014,11000.0,810.0,0.000731907577373,8.24908572633e-05,,,,
1,70033,Defence,2015,13000.0,,0.000821399867565,,2000.0,,0.181818181818,
2,70033,Economic Affairs,2011,3570770.0,1441700.0,0.298587575582,0.174966777308,,,,
3,70033,Economic Affairs,2012,4814220.0,3076080.0,0.294566253575,0.240739103043,1243450.0,1634380.0,0.348230213651,1.13364777693
4,70033,Economic Affairs,2013,4460550.0,3391500.0,0.301298327595,0.288375201518,-353670.0,315420.0,-0.0734636140434,0.102539595849
5,70033,Economic Affairs,2014,4259520.0,2081970.0,0.283415905815,0.212029000119,-201030.0,-1309530.0,-0.045068433265,-0.386121185316
6,70033,Economic Affairs,2015,4347140.0,,0.274672324637,,87620.0,,0.0205703929081,
7,70033,Education,2011,1932720.0,1695170.0,0.161613931751,0.205728259616,,,,
8,70033,Education,2012,2300630.0,2039590.0,0.140767966558,0.159621683173,367910.0,344420.0,0.190358665508,0.203177262457
9,70033,Education,2013,2275580.0,2042400.0,0.153709396444,0.173662836969,-25050.0,2810.0,-0.0108883218944,0.00137772787668
10,70033,Education,2014,2207750.0,1946360.0,0.146897177631,0.198218401164,-67830.0,-96040.0,-0.0298077852679,-0.0470231100666
11,70033,Education,2015,2389100.0,,0.150954340277,,181350.0,,0.0821424527234,
12,70033,Environmental Protection,2011,618390.0,573550.0,0.0517097351171,0.0696068496393,,,,
13,70033,Environmental Protection,2012,774700.0,605010.0,0.0474013394993,0.0473490821865,156310.0,31460.0,0.25276928799,0.05485136431
14,70033,Environmental Protection,2013,967200.0,727140.0,0.0653317959557,0.0618278472747,192500.0,122130.0,0.248483283852,0.201864431993
15,70033,Environmental Protection,2014,758550.0,493570.0,0.0504716811651,0.0502654474314,-208650.0,-233570.0,-0.215725806452,-0.32121737217
16,70033,Environmental Protection,2015,909000.0,,0.0574348061244,,150450.0,,0.198338936128,
17,70033,General Public Services,2011,2357860.0,2074130.0,0.197164113332,0.251719388096,,,,
18,70033,General Public Services,2012,2832800.0,2605410.0,0.173329694764,0.203903691211,474940.0,531280.0,0.201428413901,0.25614595035
19,70033,General Public Services,2013,2914360.0,2434950.0,0.19685729204,0.207040895455,81560.0,-170460.0,0.0287913018921,-0.0654254032955
20,70033,General Public Services,2014,2979720.0,2054880.0,0.198261786041,0.209270139226,65360.0,-380070.0,0.0224268793148,-0.156089447422
21,70033,General Public Services,2015,2915750.0,,0.184230512604,,-63970.0,,-0.0214684601238,
22,70033,Health,2011,49000.0,44460.0,0.00409737709332,0.00539572929119,,,,
23,70033,Health,2012,43250.0,36210.0,0.002646324943,0.0028338544255,-5750.0,-8250.0,-0.117346938776,-0.185560053981
24,70033,Health,2013,70000.0,48130.0,0.00472831443021,0.00409243651749,26750.0,11920.0,0.618497109827,0.329190831262
25,70033,Health,2014,98500.0,75160.0,0.00655389967011,0.00765433682952,28500.0,27030.0,0.407142857143,0.561603989196
26,70033,Health,2015,160000.0,,0.0101095368316,,61500.0,,0.624365482234,
27,70033,Housing and Community Amenities,2011,1121250.0,556810.0,0.0937588584875,0.0675752592584,,,,
28,70033,Housing and Community Amenities,2012,2926400.0,2196880.0,0.179056770248,0.171931458445,1805150.0,1640070.0,1.60994425864,2.94547511719
29,70033,Housing and Community Amenities,2013,1250830.0,723760.0,0.0844902505534,0.0615404499044,-1675570.0,-1473120.0,-0.572570393658,-0.670550963184
30,70033,Housing and Community Amenities,2014,1145200.0,670750.0,0.0761982325097,0.0683095586535,-105630.0,-53010.0,-0.0844479265768,-0.0732425113297
31,70033,Housing and Community Amenities,2015,1730100.0,,0.109315685452,,584900.0,,0.510740482012,
32,70033,Public Order and Safety,2012,25000.0,23630.0,0.00152966759711,0.00184932284105,,,,
33,70033,Public Order and Safety,2013,19000.0,5570.0,0.00128339963106,0.000473610459224,-6000.0,-18060.0,-0.24,-0.764282691494
34,70033,Public Order and Safety,2014,181240.0,40830.0,0.012059175393,0.00415815024946,162240.0,35260.0,8.53894736842,6.33034111311
35,70033,Public Order and Safety,2015,94330.0,,0.00596020380826,,-86910.0,,-0.479529905098,
36,70033,"Recreation, Culture and Religion",2011,1887170.0,1480130.0,0.157805043453,0.179630697161,,,,
37,70033,"Recreation, Culture and Religion",2012,2147970.0,1750150.0,0.131427204343,0.136969630566,260800.0,270020.0,0.138196346911,0.182429921696
38,70033,"Recreation, Culture and Religion",2013,2214950.0,1854330.0,0.149614000674,0.157671469094,66980.0,104180.0,0.0311829308603,0.0595263263149
39,70033,"Recreation, Culture and Religion",2014,2520580.0,1830640.0,0.167711963761,0.186433411038,305630.0,-23690.0,0.137985056096,-0.0127755038208
40,70033,"Recreation, Culture and Religion",2015,2307310.0,,0.145786471418,,-213270.0,,-0.0846114783105,
41,70033,Social Protection,2011,421710.0,373900.0,0.0352633651842,0.0453770396306,,,,
42,70033,Social Protection,2012,478450.0,444690.0,0.0292747784735,0.0348021741087,56740.0,70790.0,0.134547437813,0.189328697513
43,70033,Social Protection,2013,631960.0,532940.0,0.0426872226759,0.0453152528077,153510.0,88250.0,0.320848573519,0.198452854798
44,70033,Social Protection,2014,867160.0,624300.0,0.0576982704359,0.0635790644315,235200.0,91360.0,0.372175454143,0.17142642699
45,70033,Social Protection,2015,960910.0,,0.0607147189801,,93750.0,,0.10811153651,
46,70050,Defence,2015,5000.0,,0.00114772085592,,,,,
47,70050,Economic Affairs,2011,192180.0,138970.0,0.0687186675344,0.060555487773,,,,
48,70050,Economic Affairs,2012,387790.0,376240.0,0.0855019898797,0.0952535266894,195610.0,237270.0,1.01784785097,1.7073469094
49,70050,Economic Affairs,2013,75850.0,60050.0,0.017279163857,0.0161482465505,-311940.0,-316190.0,-0.804404445705,-0.840394429088
50,70050,Economic Affairs,2014,203930.0,174910.0,0.0480203638556,0.0515071381455,128080.0,114860.0,1.68859591299,1.91273938385
51,70050,Economic Affairs,2015,190210.0,,0.0436615968011,,-13720.0,,-0.0672779875447,
52,70050,Education,2011,405260.0,371950.0,0.144910642132,0.162075366462,,,,
53,70050,Education,2012,458030.0,427550.0,0.100988876517,0.108243794748,52770.0,55600.0,0.130212702956,0.14948245732
54,70050,Education,2013,449360.0,409080.0,0.102367370742,0.110007072421,-8670.0,-18470.0,-0.0189288911207,-0.0431996257748
55,70050,Education,2014,505090.0,415150.0,0.118935936742,0.122252520731,55730.0,6070.0,0.124020829624,0.0148381734624
56,70050,Education,2015,464470.0,,0.10661638119,,-40620.0,,-0.0804213110535,
