mun_id,norm_percent_change,ingov11,ingov13,gov_change,mun
70408,200.0,1.0,0.0,4stopped being aligned,Vladimirci
70718,200.0,1.0,1.0,2aligned both years,Lebane
70416,200.0,1.0,1.0,2aligned both years,Vladicin Han
70289,175.046742574,1.0,1.0,2aligned both years,Bogatic
70335,156.312367599,0.0,0.0,3unaligned both years,Bosilegrad
71161,154.773403429,1.0,1.0,2aligned both years,Trgoviste
71226,134.786987832,0.0,0.0,3unaligned both years,Crna Trava
70459,106.481796162,1.0,1.0,2aligned both years,Vrnjacka Banja
71137,91.6425039328,1.0,1.0,2aligned both years,Surdulica
80411,91.291547266,1.0,0.0,4stopped being aligned,Sremski Karlovci
70777,90.5444576241,1.0,1.0,2aligned both years,Ljubovija
70050,89.1680678917,1.0,1.0,2aligned both years,Babusnica
71005,83.2467016698,0.0,0.0,3unaligned both years,Razanj
70688,79.2605981136,0.0,1.0,1became aligned,Kursumlija
70793,77.5287279385,1.0,1.0,2aligned both years,Mali Zvornik
70475,77.0536409935,1.0,0.0,4stopped being aligned,Golubac
70343,76.6009744262,0.0,1.0,1became aligned,Brus
80390,75.9122161029,1.0,1.0,2aligned both years,Srbobran
80080,72.8802544995,1.0,0.0,4stopped being aligned,Backi Petrovac
70262,71.8632760327,1.0,0.0,4stopped being aligned,Blace
70815,68.286644452,0.0,0.0,3unaligned both years,Medvedja
70866,68.216751007,1.0,1.0,2aligned both years,Nova Varos
71064,67.9328995367,0.0,0.0,3unaligned both years,Svrljig
70530,67.7700813631,1.0,1.0,2aligned both years,zagubica
70572,66.7505485456,1.0,1.0,2aligned both years,Kladovo
70513,64.5335371815,0.0,0.0,3unaligned both years,Doljevac
70831,63.9742050668,0.0,1.0,1became aligned, Mionica
71218,63.9093961425,1.0,1.0,2aligned both years,Ub
70971,63.2927372689,0.0,1.0,1became aligned,Priboj
70661,62.4327840857,0.0,1.0,1became aligned,Krupanj
70319,62.3841590312,1.0,1.0,2aligned both years,Boljevac
70912,61.3735270857,1.0,1.0,2aligned both years,Petrovac
70068,60.317298255,0.0,0.0,3unaligned both years,Bajina Basta
70807,59.3162361483,1.0,1.0,2aligned both years,Malo Crnice
70378,58.7130775945,1.0,0.0,4stopped being aligned,Varvarin
71072,57.6040708591,0.0,0.0,3unaligned both years,Sjenica
70505,56.9876513757,1.0,0.0,4stopped being aligned,Dimitrovgrad
71030,56.8332283926,1.0,1.0,2aligned both years,Rekovac
70084,56.7866158773,1.0,0.0,4stopped being aligned,Bela Palanka
70394,55.9059891255,0.0,0.0,3unaligned both years,Veliko Gradiste
70734,55.4861582612,1.0,1.0,2aligned both years,Loznica
71021,54.1696112435,1.0,1.0,2aligned both years,Raska
70637,53.3846967945,0.0,1.0,1became aligned,Koceljeva
80306,52.2694250182,1.0,1.0,2aligned both years,Odzaci
71129,51.7858369811,1.0,0.0,4stopped being aligned,Sokobanja
71013,51.6777592871,0.0,1.0,1became aligned,Raca
70017,50.6024849149,0.0,1.0,1became aligned,Aleksandrovac
70696,50.096258129,0.0,1.0,1became aligned,Kucevo
70521,48.4678110897,1.0,1.0,2aligned both years,zabari
71200,48.2229684482,0.0,1.0,1became aligned,cuprija
71234,47.7995046045,0.0,0.0,3unaligned both years,cajetina
70467,45.923908436,1.0,1.0,2aligned both years,Gadzin Han
70025,44.2930811146,0.0,1.0,1became aligned,Aleksinac
70998,43.5411541584,,,,Prokuplje
70386,43.2054981874,0.0,0.0,3unaligned both years,Velika Plana
70955,42.9958874867,1.0,0.0,4stopped being aligned,Pozega
71102,42.9732290378,1.0,0.0,4stopped being aligned,Smederevska Palanka
70351,42.1852839512,0.0,0.0,3unaligned both years,Bujanovac
70980,41.879925425,0.0,0.0,3unaligned both years,Prijepolje
70882,41.8097359093,1.0,1.0,2aligned both years,Osecina
70769,40.4931585581,0.0,1.0,1became aligned,Ljig
71188,38.7962775282,0.0,0.0,3unaligned both years,Tutin
70483,37.8608839933,1.0,0.0,4stopped being aligned,Gornji Milanovac
71277,37.6225774418,1.0,0.0,4stopped being aligned,Lapovo
80187,35.8110046831,1.0,0.0,4stopped being aligned,Irig
70602,35.3564257562,1.0,1.0,2aligned both years,Knjazevac
70548,34.8041208377,1.0,0.0,4stopped being aligned,zitoradja
70823,34.793171294,1.0,1.0,2aligned both years,Merosina
70904,34.7395393253,1.0,0.0,4stopped being aligned,Paracin
71170,34.4948237185,1.0,1.0,2aligned both years,Trstenik
80454,34.3345222261,1.0,1.0,2aligned both years,Titel
71196,34.0259111823,1.0,0.0,4stopped being aligned,cicevac
70424,33.8618242303,1.0,1.0,2aligned both years,Vlasotince
80276,32.3400195958,1.0,0.0,4stopped being aligned,Novi Knezevac
70785,31.4444231422,1.0,0.0,4stopped being aligned,Majdanpek
80055,30.6664231649,1.0,0.0,4stopped being aligned,Bac
70360,30.6588859196,1.0,1.0,2aligned both years,Valjevo
80047,30.5378659385,1.0,1.0,2aligned both years,Apatin
80217,28.0900622358,1.0,0.0,4stopped being aligned,Kovacica
80241,27.8122534491,0.0,1.0,1became aligned,Mali Idjos
80098,27.3486985797,1.0,0.0,4stopped being aligned,Bela Crkva
70963,25.709854594,0.0,0.0,3unaligned both years,Presevo
80225,25.0260203727,1.0,1.0,2aligned both years,Kovin
70556,24.707560812,1.0,1.0,2aligned both years,Zajecar
80349,23.3736675938,0.0,0.0,3unaligned both years,Plandiste
80136,23.1005233857,1.0,0.0,4stopped being aligned,zabalj
80039,21.7591281584,1.0,0.0,4stopped being aligned,Alibunar
70599,21.7200758412,1.0,1.0,2aligned both years,Knic
70874,21.5847772768,0.0,1.0,1became aligned,Novi Pazar
80292,21.3890486782,0.0,0.0,3unaligned both years,Opovo
70700,21.146181676,0.0,1.0,1became aligned, Lajkovac
70726,20.7808304556,1.0,1.0,2aligned both years,Leskovac
70491,19.0968068706,1.0,1.0,2aligned both years,Despotovac
80420,18.4952741275,1.0,1.0,2aligned both years,Stara Pazova
80497,18.070558882,1.0,1.0,2aligned both years,sid
79057,17.7236990184,1.0,1.0,2aligned both years,Grad Vranje
80462,17.1822388493,1.0,0.0,4stopped being aligned,Vrbas
80250,16.7491708358,0.0,1.0,1became aligned,Nova Crnja
80489,16.6744437807,1.0,0.0,4stopped being aligned,coka
80071,15.7421168322,0.0,0.0,3unaligned both years,Backa Topola
70939,15.2393415335,0.0,0.0,3unaligned both years,Pirot
70327,15.0894720571,1.0,1.0,2aligned both years,Bor
71056,14.6294473364,1.0,0.0,4stopped being aligned,Svilajnac
70840,14.3961274204,1.0,1.0,2aligned both years,Negotin
70033,14.2008709147,1.0,1.0,2aligned both years,Arandjelovac
80446,13.7474249872,0.0,0.0,3unaligned both years,Temerin
80403,13.7298387613,0.0,0.0,3unaligned both years,Sremska Mitrovica
