,mun_id,mun,year,income_value,l6,l2,l3,l4,l2_name_english,l3_name_english,l4_name_english,l6_name_english
0,80012,Ada,2011,1658210.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
1,80012,Ada,2012,2425140.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
2,80012,Ada,2013,2262140.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
3,70017,Aleksandrovac,2011,1381200.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
4,70017,Aleksandrovac,2012,1931210.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
5,70017,Aleksandrovac,2013,1967940.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
6,70025,Aleksinac,2012,4030670.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
7,70025,Aleksinac,2011,2522500.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
8,70025,Aleksinac,2013,3884400.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
9,80039,Alibunar,2011,1166940.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
10,80039,Alibunar,2012,1884450.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
11,80039,Alibunar,2013,1616250.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
12,80047,Apatin,2011,3360090.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
13,80047,Apatin,2012,4424170.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
14,80047,Apatin,2013,4048540.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
15,70033,Arandjelovac,2011,3900450.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
16,70033,Arandjelovac,2012,6078180.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
17,70033,Arandjelovac,2013,5737970.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
18,70041,Arilje,2012,1802100.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
19,70041,Arilje,2011,1294780.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
20,70041,Arilje,2013,1784230.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
21,70050,Babusnica,2011,726630.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
22,70050,Babusnica,2012,845530.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
23,70050,Babusnica,2013,733970.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
24,80055,Bac,2011,1116950.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
25,80055,Bac,2012,1522860.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
26,80055,Bac,2013,1301770.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
27,80063,Backa Palanka,2011,4750430.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
28,80063,Backa Palanka,2012,7447280.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
29,80063,Backa Palanka,2013,7141910.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
30,80071,Backa Topola,2011,3629520.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
31,80071,Backa Topola,2012,5071120.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
32,80071,Backa Topola,2013,4670600.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
33,80080,Backi Petrovac,2011,1487570.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
34,80080,Backi Petrovac,2012,2175240.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
35,80080,Backi Petrovac,2013,1838910.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
36,70068,Bajina Basta,2011,1710830.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
37,70068,Bajina Basta,2012,2664610.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
38,70068,Bajina Basta,2013,2441900.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
39,70076,Batocina,2012,1099120.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
40,70076,Batocina,2011,661240.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
41,70076,Batocina,2013,1049640.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
42,80110,Becej,2011,2775770.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
43,80110,Becej,2012,4382380.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
44,80110,Becej,2013,4120980.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
45,80098,Bela Crkva,2011,884470.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
46,80098,Bela Crkva,2012,1287540.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
47,80098,Bela Crkva,2013,1215410.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
48,70084,Bela Palanka,2011,544020.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
49,70084,Bela Palanka,2012,931530.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
50,70084,Bela Palanka,2013,1279610.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
51,80101,Beocin,2011,1280240.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
52,80101,Beocin,2012,1889240.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
53,80101,Beocin,2013,1784170.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
54,70262,Blace,2011,694410.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
55,70262,Blace,2012,990450.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
56,70262,Blace,2013,864640.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
57,70289,Bogati?,2012,1550440.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
58,70289,Bogati?,2011,392220.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
59,70289,Bogati?,2013,1490890.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
60,70297,Bojnik,2011,308020.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
61,70297,Bojnik,2012,499090.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
62,70297,Bojnik,2013,471070.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
63,70319,Boljevac,2012,863320.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
64,70319,Boljevac,2011,514160.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
65,70319,Boljevac,2013,946220.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
66,70327,Bor,2011,5555750.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
