mun_id,year, domestic borrowing, foreign borrowing, sale forest and water, sale of domestic financial assets, sale of foreign financial assets, sale of goods for resale, sale of inventories, sale of land, sale of other fixed assets , sale of stockpiles, sale of valuables, sale underground valuables,Donations from foreign governments,Donations from international organizations,Excises,"Fines, penalties and forfeits",Income from sale of movable property,Memorandum items for expenditures refund ,Memorandum items for expenditures refund from the previous year,Mixed and indefinite income,Other social contributions,Other taxes,Property income,Revenue from the budget,Sales of goods and services,Single tax on exra profit and extra assets acquired using special benefits,Social security contributions,Taxes on goods and services,"Taxes on income, profits and capital gains ",Taxes on international trade and transactions,Taxes on payroll and workforce,Taxes on property,Transfers between budget users at the same level,Transfers from other level of government,Voluntary transfers other than grants,proceeds from the real estate sales
70017,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91280.0,0.0,16050.0,0.0,25920.0,2000.0,81590.0,0.0,157930.0,80470.0,125580.0,157300.0,0.0,0.0,193320.0,1381200.0,0.0,1270.0,205580.0,0.0,1582200.0,144420.0,0.0
70017,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94830.0,0.0,18700.0,0.0,33050.0,3940.0,144440.0,0.0,145370.0,68080.0,122590.0,200190.0,0.0,0.0,217580.0,1931210.0,0.0,3850.0,213760.0,0.0,2362940.0,10460.0,0.0
70017,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211250.0,0.0,25070.0,100.0,25590.0,4380.0,47980.0,0.0,104170.0,57170.0,0.0,183890.0,0.0,0.0,140990.0,1967940.0,0.0,0.0,315420.0,0.0,2648800.0,29420.0,10.0
70025,2011,49270.0,0.0,0.0,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14320.0,0.0,0.0,29800.0,0.0,29170.0,5470.0,123130.0,0.0,160220.0,441440.0,0.0,487850.0,0.0,0.0,269530.0,2522500.0,0.0,160.0,302490.0,0.0,3302780.0,124000.0,35700.0
70025,2012,262040.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367580.0,0.0,18440.0,0.0,36460.0,9860.0,151370.0,0.0,140880.0,386430.0,0.0,475480.0,0.0,0.0,267300.0,4030670.0,0.0,0.0,293670.0,0.0,4946660.0,102160.0,38810.0
70025,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171720.0,0.0,64300.0,0.0,32910.0,9060.0,124260.0,0.0,131480.0,509430.0,0.0,422640.0,0.0,0.0,257410.0,3884400.0,0.0,0.0,834640.0,0.0,5297620.0,51360.0,100440.0
70033,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57950.0,260.0,48810.0,11410.0,198450.0,0.0,0.0,650390.0,151650.0,705330.0,0.0,0.0,676980.0,3900450.0,0.0,0.0,760090.0,0.0,2335110.0,40440.0,3570.0
70033,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103840.0,0.0,59790.0,450.0,92320.0,0.0,287400.0,0.0,269100.0,667610.0,0.0,738590.0,0.0,0.0,436120.0,6078180.0,0.0,0.0,776560.0,0.0,3821440.0,9670.0,2560.0
70033,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4290.0,0.0,0.0,0.0,0.0,0.0,11280.0,0.0,72100.0,290.0,95230.0,0.0,264730.0,0.0,310770.0,729370.0,0.0,751110.0,0.0,0.0,325420.0,5737970.0,0.0,10.0,829250.0,0.0,2964370.0,175290.0,0.0
70041,2011,301180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679130.0,0.0,23850.0,4750.0,34290.0,630.0,108140.0,0.0,187890.0,57210.0,0.0,317370.0,0.0,0.0,122630.0,1294780.0,0.0,750.0,294450.0,88210.0,1070880.0,91810.0,0.0
70041,2012,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455190.0,0.0,28830.0,0.0,39600.0,2640.0,207030.0,0.0,121560.0,69720.0,110.0,318490.0,0.0,0.0,127630.0,1802100.0,0.0,0.0,209440.0,82360.0,1001180.0,23890.0,0.0
