,date,pres_name,mun,party_id,mun_id,name_abr,name_full,in_gov11,ingov12,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,nat_party
0,2008-05-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
1,2008-06-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
2,2008-07-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
3,2008-08-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
4,2008-09-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
5,2008-10-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
6,2008-11-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
7,2008-12-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
8,2009-01-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
9,2009-02-28,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
10,2009-03-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
11,2009-04-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
12,2009-05-31,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
13,2009-06-30,Vlada Gajic,Arandjelovac,2,70033,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
