,date,pres_name,mun,party_id,mun_id,name_abr,name_full,opo11,in_gov11,in_gov12,opo13,ingov13,fringe13,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,ag3_name_abr,ag3_party_id,ag3_name_full,nat_party
0,2008-07-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
1,2008-08-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
2,2008-09-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
3,2008-10-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
4,2008-11-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
5,2008-12-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
6,2009-01-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
7,2009-02-28,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
8,2009-03-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
9,2009-04-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
10,2009-05-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
11,2009-06-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
12,2009-07-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
13,2009-08-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
14,2009-09-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
15,2009-10-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
16,2009-11-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
17,2009-12-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
18,2010-01-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
19,2010-02-28,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
20,2010-03-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
21,2010-04-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
22,2010-05-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
23,2010-06-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
24,2010-07-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
25,2010-08-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
26,2010-09-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
27,2010-10-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
28,2010-11-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
29,2010-12-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
30,2011-01-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
31,2011-02-28,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
32,2011-03-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
33,2011-04-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
34,2011-05-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
35,2011-06-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
36,2011-07-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
37,2011-08-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
38,2011-09-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
39,2011-10-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
40,2011-11-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
41,2011-12-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
42,2012-01-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
43,2012-02-29,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
44,2012-03-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
45,2012-04-30,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
46,2012-05-31,Jugoslav Stajkovac,Aleksandrovac,47,70017,GGPZZ,"Grupa Gradjana ""Pokret Za Zupu""",0,0,0,0,0,0,0,CG,-2,Citizen Group,LP,-4,Local Party,CG,-2,Citizen Group,0
47,2012-06-30,Zoran Bojovic,Aleksandrovac,1,70017,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
48,2012-07-31,Zoran Bojovic,Aleksandrovac,1,70017,SNS,Srpska Napredna Stranka,-1,0,0,1,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
