old,mun_id,mun,region_id,region,area_id,area
RS11,79014,Beograd,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70092,Beograd-Barajevo,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70106,Beograd-Vozdovac,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70114,Beograd-Vracar,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70122,Beograd-Grocka,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70149,Beograd-Zvezdara,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70157,Beograd-Zemun,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70165,Beograd-Lazarevac,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70173,Beograd-Mladenovac,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70181,Beograd-Novi Beograd,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70190,Beograd-Obrenovac,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70203,Beograd-Palilula,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70211,Beograd-Rakovica,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70220,Beograd-Savski Venac,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70238,Beograd-Sopot,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70246,Beograd-Stari Grad,RS11,Beogradski region,RS111,Beogradska oblast
RS111,71293,Beograd-Surcin,RS11,Beogradski region,RS111,Beogradska oblast
RS111,70254,Beograd-Cukarica,RS11,Beogradski region,RS111,Beogradska oblast
RS121,80381,Sombor-grad,RS12,Region Vojvodine,RS121,Zapadnobacka oblast
RS121,80047,Apatin,RS12,Region Vojvodine,RS121,Zapadnobacka oblast
RS121,80233,Kula,RS12,Region Vojvodine,RS121,Zapadnobacka oblast
RS121,80306,Odzaci,RS12,Region Vojvodine,RS121,Zapadnobacka oblast
RS122,80314,Pancevo-grad,RS12,Region Vojvodine,RS122,Juznobanatska oblast
RS122,80039,Alibunar,RS12,Region Vojvodine,RS122,Juznobanatska oblast
RS122,80098,Bela Crkva,RS12,Region Vojvodine,RS122,Juznobanatska oblast
RS122,80128,Vrsac-grad,RS12,Region Vojvodine,RS122,Juznobanatska oblast
RS122,80217,Kovacica,RS12,Region Vojvodine,RS122,Juznobanatska oblast
RS122,80225,Kovin,RS12,Region Vojvodine,RS122,Juznobanatska oblast
RS122,80292,Opovo,RS12,Region Vojvodine,RS122,Juznobanatska oblast
RS122,80349,Plandiste,RS12,Region Vojvodine,RS122,Juznobanatska oblast
RS123,89010,Grad Novi Sad,RS12,Region Vojvodine,RS123,Juznobacka oblast
RS123,80284,Novi Sad,RS12,Region Vojvodine,RS123,Juznobacka oblast
RS123,80519,Petrovaradin,RS12,Region Vojvodine,RS123,Juznobacka oblast
RS123,80055,Bac,RS12,Region Vojvodine,RS123,Juznobacka oblast
RS123,80063,Backa Palanka,RS12,Region Vojvodine,RS123,Juznobacka oblast
RS123,80080,Backi Petrovac,RS12,Region Vojvodine,RS123,Juznobacka oblast
RS123,80101,Beocin,RS12,Region Vojvodine,RS123,Juznobacka oblast
RS123,80110,Becej,RS12,Region Vojvodine,RS123,Juznobacka oblast
RS123,80462,Vrbas,RS12,Region Vojvodine,RS123,Juznobacka oblast
RS123,80136,Zabalj,RS12,Region Vojvodine,RS123,Juznobacka oblast
