,mun_id,year, domestic borrowing, foreign borrowing, sale forest and water, sale of domestic financial assets, sale of foreign financial assets, sale of goods for resale, sale of inventories, sale of land, sale of other fixed assets , sale of stockpiles, sale of valuables, sale underground valuables,Donations from foreign governments,Donations from international organizations,Excises,"Fines, penalties and forfeits",Income from sale of movable property,Memorandum items for expenditures refund ,Memorandum items for expenditures refund from the previous year,Mixed and indefinite income,Other social contributions,Other taxes,Property income,Revenue from the budget,Sales of goods and services,Single tax on exra profit and extra assets acquired using special benefits,Social security contributions,Taxes on goods and services,"Taxes on income, profits and capital gains ",Taxes on international trade and transactions,Taxes on payroll and workforce,Taxes on property,Transfers between budget users at the same level,Transfers from other level of government,Voluntary transfers other than grants,proceeds from the real estate sales,Unnamed: 0_x,average_wage,Unnamed: 0_y,mun,mun_type,area_km2,pop_total,total,active_total,active_employed,active_unemployed,active_unemp_former,active_unemp_firstjob,inactive_total,inactive_students,inactive_houshold,labor_pariticpation_rate,total_nat,serbs,albanians,bosnians,bulgarians,bunjevci,vlasi,goranci,yugoslavs,hungarians,macedonians,muslims,germans,roma,romanians,russians,rusini,slovaks,slovenians,ukranians,croats,montenegrins,rest,undeclared,regional_assoc,unkown,majority_nationality,wage_2010,wage_2011,wage_2012,wage_2013,wage_2014,employment_rate,employment_per_pop,share_serbian,pop_density
0,70017.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91280.0,0.0,16050.0,0.0,25920.0,2000.0,81590.0,0.0,157930.0,80470.0,125580.0,157300.0,0.0,0.0,193320.0,1381200.0,0.0,1270.0,205580.0,0.0,1582200.0,144420.0,0.0,497.0,27557.0,0.0,Aleksandrovac,normal,387.0,25580.0,26522.0,10460.0,8884.0,1576.0,831.0,745.0,16062.0,2276.0,2786.0,0.394389563381,26522.0,25682.0,5.0,1.0,7.0,,,,6.0,,10.0,1.0,,84.0,2.0,3.0,,,1.0,,8.0,23.0,9.0,71.0,,609.0,serbs,22723.0,27557.0,31134.0,32973.0,31317.0,0.849330783939,0.347302580141,0.968328180379,66.0981912145
1,70017.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94830.0,0.0,18700.0,0.0,33050.0,3940.0,144440.0,0.0,145370.0,68080.0,122590.0,200190.0,0.0,0.0,217580.0,1931210.0,0.0,3850.0,213760.0,0.0,2362940.0,10460.0,0.0,498.0,31134.0,0.0,Aleksandrovac,normal,387.0,25580.0,26522.0,10460.0,8884.0,1576.0,831.0,745.0,16062.0,2276.0,2786.0,0.394389563381,26522.0,25682.0,5.0,1.0,7.0,,,,6.0,,10.0,1.0,,84.0,2.0,3.0,,,1.0,,8.0,23.0,9.0,71.0,,609.0,serbs,22723.0,27557.0,31134.0,32973.0,31317.0,0.849330783939,0.347302580141,0.968328180379,66.0981912145
2,70017.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211250.0,0.0,25070.0,100.0,25590.0,4380.0,47980.0,0.0,104170.0,57170.0,0.0,183890.0,0.0,0.0,140990.0,1967940.0,0.0,0.0,315420.0,0.0,2648800.0,29420.0,10.0,499.0,32973.0,0.0,Aleksandrovac,normal,387.0,25580.0,26522.0,10460.0,8884.0,1576.0,831.0,745.0,16062.0,2276.0,2786.0,0.394389563381,26522.0,25682.0,5.0,1.0,7.0,,,,6.0,,10.0,1.0,,84.0,2.0,3.0,,,1.0,,8.0,23.0,9.0,71.0,,609.0,serbs,22723.0,27557.0,31134.0,32973.0,31317.0,0.849330783939,0.347302580141,0.968328180379,66.0981912145
3,70017.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,22723.0,0.0,Aleksandrovac,normal,387.0,25580.0,26522.0,10460.0,8884.0,1576.0,831.0,745.0,16062.0,2276.0,2786.0,0.394389563381,26522.0,25682.0,5.0,1.0,7.0,,,,6.0,,10.0,1.0,,84.0,2.0,3.0,,,1.0,,8.0,23.0,9.0,71.0,,609.0,serbs,22723.0,27557.0,31134.0,32973.0,31317.0,0.849330783939,0.347302580141,0.968328180379,66.0981912145
4,70017.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,31317.0,0.0,Aleksandrovac,normal,387.0,25580.0,26522.0,10460.0,8884.0,1576.0,831.0,745.0,16062.0,2276.0,2786.0,0.394389563381,26522.0,25682.0,5.0,1.0,7.0,,,,6.0,,10.0,1.0,,84.0,2.0,3.0,,,1.0,,8.0,23.0,9.0,71.0,,609.0,serbs,22723.0,27557.0,31134.0,32973.0,31317.0,0.849330783939,0.347302580141,0.968328180379,66.0981912145
5,70025.0,2011.0,49270.0,0.0,0.0,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14320.0,0.0,0.0,29800.0,0.0,29170.0,5470.0,123130.0,0.0,160220.0,441440.0,0.0,487850.0,0.0,0.0,269530.0,2522500.0,0.0,160.0,302490.0,0.0,3302780.0,124000.0,35700.0,730.0,30710.0,1.0,Aleksinac,normal,707.0,49928.0,51863.0,19232.0,12909.0,6323.0,3512.0,2811.0,32631.0,3373.0,5744.0,0.37082313017,51863.0,47563.0,18.0,8.0,45.0,,21.0,13.0,49.0,16.0,98.0,37.0,6.0,1937.0,20.0,15.0,2.0,3.0,30.0,,50.0,68.0,35.0,474.0,9.0,1346.0,serbs,27703.0,30710.0,32531.0,36032.0,36954.0,0.671225041597,0.258552315334,0.917089254382,70.6195190948
6,70025.0,2012.0,262040.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367580.0,0.0,18440.0,0.0,36460.0,9860.0,151370.0,0.0,140880.0,386430.0,0.0,475480.0,0.0,0.0,267300.0,4030670.0,0.0,0.0,293670.0,0.0,4946660.0,102160.0,38810.0,731.0,32531.0,1.0,Aleksinac,normal,707.0,49928.0,51863.0,19232.0,12909.0,6323.0,3512.0,2811.0,32631.0,3373.0,5744.0,0.37082313017,51863.0,47563.0,18.0,8.0,45.0,,21.0,13.0,49.0,16.0,98.0,37.0,6.0,1937.0,20.0,15.0,2.0,3.0,30.0,,50.0,68.0,35.0,474.0,9.0,1346.0,serbs,27703.0,30710.0,32531.0,36032.0,36954.0,0.671225041597,0.258552315334,0.917089254382,70.6195190948
7,70025.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171720.0,0.0,64300.0,0.0,32910.0,9060.0,124260.0,0.0,131480.0,509430.0,0.0,422640.0,0.0,0.0,257410.0,3884400.0,0.0,0.0,834640.0,0.0,5297620.0,51360.0,100440.0,732.0,36032.0,1.0,Aleksinac,normal,707.0,49928.0,51863.0,19232.0,12909.0,6323.0,3512.0,2811.0,32631.0,3373.0,5744.0,0.37082313017,51863.0,47563.0,18.0,8.0,45.0,,21.0,13.0,49.0,16.0,98.0,37.0,6.0,1937.0,20.0,15.0,2.0,3.0,30.0,,50.0,68.0,35.0,474.0,9.0,1346.0,serbs,27703.0,30710.0,32531.0,36032.0,36954.0,0.671225041597,0.258552315334,0.917089254382,70.6195190948
8,70025.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.0,27703.0,1.0,Aleksinac,normal,707.0,49928.0,51863.0,19232.0,12909.0,6323.0,3512.0,2811.0,32631.0,3373.0,5744.0,0.37082313017,51863.0,47563.0,18.0,8.0,45.0,,21.0,13.0,49.0,16.0,98.0,37.0,6.0,1937.0,20.0,15.0,2.0,3.0,30.0,,50.0,68.0,35.0,474.0,9.0,1346.0,serbs,27703.0,30710.0,32531.0,36032.0,36954.0,0.671225041597,0.258552315334,0.917089254382,70.6195190948
9,70025.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.0,36954.0,1.0,Aleksinac,normal,707.0,49928.0,51863.0,19232.0,12909.0,6323.0,3512.0,2811.0,32631.0,3373.0,5744.0,0.37082313017,51863.0,47563.0,18.0,8.0,45.0,,21.0,13.0,49.0,16.0,98.0,37.0,6.0,1937.0,20.0,15.0,2.0,3.0,30.0,,50.0,68.0,35.0,474.0,9.0,1346.0,serbs,27703.0,30710.0,32531.0,36032.0,36954.0,0.671225041597,0.258552315334,0.917089254382,70.6195190948
10,70033.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57950.0,260.0,48810.0,11410.0,198450.0,0.0,0.0,650390.0,151650.0,705330.0,0.0,0.0,676980.0,3900450.0,0.0,0.0,760090.0,0.0,2335110.0,40440.0,3570.0,552.0,32092.0,2.0,Arandjelovac,normal,376.0,45125.0,46225.0,18148.0,13721.0,4427.0,2755.0,1672.0,28077.0,3475.0,4182.0,0.392601406165,46225.0,44581.0,3.0,1.0,15.0,1.0,2.0,1.0,49.0,17.0,60.0,18.0,6.0,382.0,25.0,14.0,3.0,3.0,8.0,4.0,38.0,186.0,36.0,286.0,32.0,454.0,serbs,29348.0,32092.0,35968.0,37517.0,40324.0,0.75606127397,0.304066481994,0.964434829638,120.013297872
