,norm_percent_change,ingov11,ingov13,mun,mun_id,wage_2011,wage_2013,dummy_1became aligned,dummy_2aligned both years,dummy_3unaligned both years,dummy_4stopped being aligned,area_km2,pop_total,labor_pariticpation_rate,wage_2012,employment_rate,dummy_city,dummy_normal,constant,Tax_Income_per_Capita
38,200.0,1.0,1.0,Vladicin Han,70416,24563.0,29984.0,0.0,1.0,0.0,0.0,366.0,20012.0,0.407982367879,27703.0,0.518496770405,0.0,1.0,1,
26,175.046742574,1.0,1.0,Bogatic,70289,27404.0,33330.0,0.0,1.0,0.0,0.0,384.0,27881.0,0.410552920403,30596.0,0.896778546129,0.0,1.0,1,
30,156.312367599,0.0,0.0,Bosilegrad,70335,26648.0,34186.0,0.0,0.0,1.0,0.0,571.0,7729.0,0.557018083405,31461.0,0.847835689046,0.0,1.0,1,
104,154.773403429,1.0,1.0,Trgoviste,71161,24071.0,29334.0,0.0,1.0,0.0,0.0,370.0,4806.0,0.615989000196,28380.0,0.885522959184,0.0,1.0,1,
110,134.786987832,0.0,0.0,Crna Trava,71226,23457.0,31839.0,0.0,0.0,1.0,0.0,312.0,1470.0,0.415514131088,27025.0,0.926193921852,0.0,1.0,1,
41,106.481796162,1.0,1.0,Vrnjacka Banja,70459,26884.0,33711.0,0.0,1.0,0.0,0.0,239.0,26948.0,0.380789770044,31333.0,0.73630986453,0.0,1.0,1,
101,91.6425039328,1.0,1.0,Surdulica,71137,34297.0,39916.0,0.0,1.0,0.0,0.0,628.0,19624.0,0.386583985432,36232.0,0.591343093571,0.0,1.0,1,
164,91.291547266,1.0,-1.0,Sremski Karlovci,80411,30535.0,33335.0,0.0,0.0,0.0,1.0,51.0,8588.0,0.4288,30284.0,0.769989339019,0.0,1.0,1,
70,90.5444576241,1.0,1.0,Ljubovija,70777,31292.0,41738.0,0.0,1.0,0.0,0.0,356.0,13753.0,0.470315847674,35088.0,0.874063188832,0.0,1.0,1,186.206645823
4,89.1680678917,1.0,1.0,Babusnica,70050,26849.0,28843.0,0.0,1.0,0.0,0.0,529.0,11478.0,0.389615665881,28105.0,0.663190823775,0.0,1.0,1,351.16483708
90,83.2467016698,0.0,1.0,Razanj,71005,27113.0,30881.0,1.0,0.0,0.0,0.0,289.0,8614.0,0.399344262295,29645.0,0.924192665572,0.0,1.0,1,
62,79.2605981136,0.0,1.0,Kursumlija,70688,23954.0,28075.0,1.0,0.0,0.0,0.0,952.0,18488.0,0.335189715297,24282.0,0.720031055901,0.0,1.0,1,
72,77.5287279385,1.0,1.0,Mali Zvornik,70793,30052.0,34877.0,0.0,1.0,0.0,0.0,184.0,12005.0,0.351225765102,31939.0,0.772125912409,0.0,1.0,1,
43,77.0536409935,1.0,-1.0,Golubac,70475,23853.0,29904.0,0.0,0.0,0.0,1.0,367.0,7940.0,0.333333333333,28369.0,0.815628375945,0.0,1.0,1,165.198992443
31,76.6009744262,0.0,1.0,Brus,70343,27383.0,32390.0,1.0,0.0,0.0,0.0,606.0,15706.0,0.448857020286,30503.0,0.862779901693,0.0,1.0,1,31.7770278874
162,75.9122161029,1.0,1.0,Srbobran,80390,27994.0,35431.0,0.0,1.0,0.0,0.0,284.0,15939.0,0.378991236134,32647.0,0.710543337646,0.0,1.0,1,
133,72.8802544995,1.0,-1.0,Backi Petrovac,80080,25375.0,30971.0,0.0,0.0,0.0,1.0,158.0,13122.0,0.432925920405,28427.0,0.833878464452,0.0,1.0,1,158.312757202
25,71.8632760327,1.0,0.0,Blace,70262,27326.0,31198.0,0.0,0.0,0.0,1.0,306.0,11212.0,0.348647269015,30140.0,0.703025866276,0.0,1.0,1,88.338387442
74,68.286644452,0.0,0.0,Medvedja,70815,34440.0,39235.0,0.0,0.0,1.0,0.0,524.0,7111.0,0.443264318365,36186.0,0.835304822566,0.0,1.0,1,
78,68.216751007,1.0,1.0,Nova Varos,70866,28912.0,35425.0,0.0,1.0,0.0,0.0,581.0,15732.0,0.427455222984,32509.0,0.693757030371,0.0,1.0,1,
96,67.9328995367,0.0,0.0,Svrljig,71064,25288.0,29988.0,0.0,0.0,1.0,0.0,497.0,13507.0,0.338971155871,27432.0,0.654451345756,0.0,1.0,1,
49,67.7700813631,1.0,1.0,zagubica,70530,31806.0,37031.0,0.0,1.0,0.0,0.0,760.0,12084.0,0.340661066185,35442.0,0.85250057617,0.0,1.0,1,1030.05958292
53,66.7505485456,1.0,1.0,Kladovo,70572,38186.0,45395.0,0.0,1.0,0.0,0.0,629.0,19834.0,0.339714078023,42870.0,0.846504992867,0.0,1.0,1,
47,64.5335371815,0.0,0.0,Doljevac,70513,24707.0,31831.0,0.0,0.0,1.0,0.0,121.0,18305.0,0.38877755511,28754.0,0.557397603789,0.0,1.0,1,
76,63.9742050668,0.0,1.0, Mionica,70831,27292.0,31280.0,1.0,0.0,0.0,0.0,329.0,13821.0,0.473875130799,29262.0,0.933166494921,0.0,1.0,1,39.6917733883
109,63.9093961425,1.0,1.0,Ub,71218,28612.0,33104.0,0.0,1.0,0.0,0.0,456.0,28358.0,0.478024810144,32540.0,0.895190856157,0.0,1.0,1,26.6164750688
87,63.2927372689,0.0,1.0,Priboj,70971,29446.0,26051.0,1.0,0.0,0.0,0.0,553.0,25979.0,0.390741901006,31878.0,0.705810224486,0.0,1.0,1,
60,62.4327840857,0.0,1.0,Krupanj,70661,25065.0,29627.0,1.0,0.0,0.0,0.0,342.0,16459.0,0.404394333622,28775.0,0.80826422648,0.0,1.0,1,
28,62.3841590312,1.0,1.0,Boljevac,70319,27878.0,35674.0,0.0,1.0,0.0,0.0,828.0,12231.0,0.439895336309,32044.0,0.874212736179,0.0,1.0,1,126.763142834
82,61.3735270857,1.0,1.0,Petrovac,70912,27353.0,31168.0,0.0,1.0,0.0,0.0,655.0,29897.0,0.367414184715,29870.0,0.880452764475,0.0,1.0,1,65.2630698732
5,60.317298255,0.0,-1.0,Bajina Basta,70068,31839.0,36754.0,0.0,0.0,1.0,0.0,673.0,25205.0,0.45476904158,35512.0,0.857529153287,0.0,1.0,1,
73,59.3162361483,1.0,1.0,Malo Crnice,70807,23745.0,27314.0,0.0,1.0,0.0,0.0,269.0,10860.0,0.364286961075,26496.0,0.854815524677,0.0,1.0,1,49.6141804788
34,58.7130775945,1.0,0.0,Varvarin,70378,26805.0,33810.0,0.0,0.0,0.0,1.0,249.0,17349.0,0.369865301124,31330.0,0.875846501129,0.0,1.0,1,49.7619459335
97,57.6040708591,0.0,1.0,Sjenica,71072,31151.0,36523.0,1.0,0.0,0.0,0.0,1059.0,26141.0,0.321271597454,33865.0,0.722608798207,0.0,1.0,1,36.3891970468
46,56.9876513757,1.0,0.0,Dimitrovgrad,70505,27037.0,29822.0,0.0,0.0,0.0,1.0,483.0,9758.0,0.382684324965,27423.0,0.696539256198,0.0,1.0,1,266.132404181
93,56.8332283926,1.0,1.0,Rekovac,71030,24613.0,32095.0,0.0,1.0,0.0,0.0,366.0,10285.0,0.336227951153,31187.0,0.822437449556,0.0,1.0,1,
7,56.7866158773,1.0,-1.0,Bela Palanka,70084,22008.0,26875.0,0.0,0.0,0.0,1.0,517.0,11559.0,0.354280059377,24359.0,0.614292364991,0.0,1.0,1,525.839605502
36,55.9059891255,0.0,0.0,Veliko Gradiste,70394,24271.0,32196.0,0.0,0.0,1.0,0.0,344.0,16948.0,0.363827370812,27875.0,0.881067582332,0.0,1.0,1,
67,55.4861582612,1.0,1.0,Loznica,70734,28879.0,32216.0,0.0,1.0,0.0,0.0,612.0,77543.0,0.379379026057,31505.0,0.667752118292,0.0,1.0,1,25.3803696014
92,54.1696112435,1.0,1.0,Raska,71021,30908.0,36761.0,0.0,1.0,0.0,0.0,670.0,23904.0,0.419199286814,34851.0,0.727501208313,0.0,1.0,1,
57,53.3846967945,0.0,1.0,Koceljeva,70637,29943.0,38391.0,1.0,0.0,0.0,0.0,257.0,12497.0,0.446720999314,32516.0,0.894458653026,0.0,1.0,1,
154,52.2694250182,1.0,1.0,Odzaci,80306,28063.0,36733.0,0.0,1.0,0.0,0.0,411.0,28894.0,0.366750679843,34994.0,0.653675739217,0.0,1.0,1,40.8060496989
100,51.7858369811,1.0,-1.0,Sokobanja,71129,33690.0,38807.0,0.0,0.0,0.0,1.0,525.0,15265.0,0.40465638849,37030.0,0.839117692426,0.0,1.0,1,472.618408123
91,51.6777592871,0.0,1.0,Raca,71013,26133.0,32034.0,1.0,0.0,0.0,0.0,216.0,11045.0,0.409806137529,30662.0,0.851718285957,0.0,1.0,1,40.6781349027
0,50.6024849149,0.0,1.0,Aleksandrovac,70017,27557.0,32973.0,1.0,0.0,0.0,0.0,387.0,25580.0,0.394389563381,31134.0,0.849330783939,0.0,1.0,1,
63,50.096258129,0.0,1.0,Kucevo,70696,28016.0,32101.0,1.0,0.0,0.0,0.0,721.0,14515.0,0.284544985821,31081.0,0.780747451869,0.0,1.0,1,
48,48.4678110897,1.0,1.0,zabari,70521,30652.0,30013.0,0.0,1.0,0.0,0.0,264.0,10645.0,0.35316344464,30552.0,0.839263498383,0.0,1.0,1,
108,48.2229684482,0.0,1.0,cuprija,71200,30488.0,34700.0,1.0,0.0,0.0,0.0,287.0,29618.0,0.373894599445,33349.0,0.693401989876,0.0,1.0,1,
111,47.7995046045,0.0,0.0,cajetina,71234,27739.0,33149.0,0.0,0.0,1.0,0.0,647.0,14413.0,0.426042726348,31893.0,0.864851957975,0.0,1.0,1,
42,45.923908436,1.0,1.0,Gadzin Han,70467,21568.0,28744.0,0.0,1.0,0.0,0.0,325.0,7767.0,0.356895935153,29060.0,0.721442885772,0.0,1.0,1,
1,44.2930811146,0.0,1.0,Aleksinac,70025,30710.0,36032.0,1.0,0.0,0.0,0.0,707.0,49928.0,0.37082313017,32531.0,0.671225041597,0.0,1.0,1,38.6798990546
35,43.2054981874,0.0,0.0,Velika Plana,70386,32872.0,34627.0,0.0,0.0,1.0,0.0,345.0,39620.0,0.356388440663,37215.0,0.761130548124,0.0,1.0,1,
85,42.9958874867,1.0,-1.0,Pozega,70955,29713.0,34422.0,0.0,0.0,0.0,1.0,426.0,28757.0,0.458836628652,32716.0,0.842194278991,0.0,1.0,1,41.2101401398
99,42.9732290378,1.0,-1.0,Smederevska Palanka,71102,29118.0,32048.0,0.0,0.0,0.0,1.0,421.0,48611.0,0.378510062843,31509.0,0.798455314454,0.0,1.0,1,
32,42.1852839512,0.0,0.0,Bujanovac,70351,31258.0,35776.0,0.0,0.0,1.0,0.0,461.0,38085.0,0.385564841977,33353.0,0.58426643698,0.0,1.0,1,
88,41.879925425,0.0,0.0,Prijepolje,70980,27512.0,32047.0,0.0,0.0,1.0,0.0,827.0,36143.0,0.435575703608,30643.0,0.723330442324,0.0,1.0,1,33.9075339623
80,41.8097359093,1.0,1.0,Osecina,70882,27363.0,33051.0,0.0,1.0,0.0,0.0,319.0,11933.0,0.515475430759,30579.0,0.937480656144,0.0,1.0,1,
69,40.4931585581,0.0,1.0,Ljig,70769,24093.0,26929.0,1.0,0.0,0.0,0.0,279.0,12073.0,0.500940881292,26473.0,0.923775238692,0.0,1.0,1,
