mun_id,year,plan,actual,budget_data,income_value,income_data,transfers,debt
70017,2011,,,,4246110.0,1.0,1582200.0,0.0
70017,2012,,,,5570990.0,1.0,2362940.0,0.0
70017,2013,,,,5762180.0,1.0,2648800.0,0.0
70025,2011,,,,7900440.0,1.0,3302780.0,49270.0
70025,2012,,,,11528710.0,1.0,4946660.0,262940.0
70025,2013,,,,11891670.0,1.0,5297620.0,0.0
70033,2011,11958870.0,8239850.0,1.0,9540890.0,1.0,2335110.0,0.0
70033,2012,16343420.0,12777650.0,1.0,13343630.0,1.0,3821440.0,0.0
70033,2013,14804430.0,11760720.0,1.0,12271480.0,1.0,2964370.0,0.0
70033,2014,15029220.0,9819270.0,1.0,,,,
70033,2015,15826640.0,,1.0,,,,
70041,2011,,,,4677950.0,1.0,1070880.0,301180.0
70041,2012,,,,4490000.0,1.0,1001180.0,0.0
70041,2013,,,,4040580.0,1.0,1120330.0,0.0
70050,2011,2796620.0,2294920.0,1.0,2333920.0,1.0,1230420.0,0.0
70050,2012,4535450.0,3949880.0,1.0,3925750.0,1.0,2617030.0,0.0
70050,2013,4389680.0,3718670.0,1.0,3732620.0,1.0,2587360.0,0.0
70050,2014,4246740.0,3395840.0,1.0,,,,
70050,2015,4356460.0,,1.0,,,,
70068,2011,10029762.3,8196034.6,1.0,8177500.0,1.0,1161950.0,169910.0
70068,2012,11270902.1,9559511.5,1.0,9634950.0,1.0,1781190.0,37100.0
70068,2013,10142480.0,7903794.2,1.0,8107860.0,1.0,2070730.0,200000.0
70068,2014,10081920.0,7957779.3,1.0,,,,
70068,2015,8397860.1,,1.0,,,,
70076,2011,,,,2705640.0,1.0,1099320.0,0.0
70076,2012,,,,3723200.0,1.0,1597360.0,0.0
70076,2013,,,,3365410.0,1.0,1248670.0,0.0
70084,2011,,,,2598950.0,1.0,1476210.0,256390.0
70084,2012,,,,4424960.0,1.0,2921120.0,9780.0
70084,2013,,,,4488780.0,1.0,2572840.0,0.0
70114,2011,6536550.0,5861710.0,1.0,,,,
70114,2012,6278320.0,4658840.0,1.0,,,,
70114,2013,6244800.0,5337270.0,1.0,,,,
70114,2014,4443980.0,4098950.0,1.0,,,,
70114,2015,4639500.0,,1.0,,,,
70149,2011,7599470.0,6863330.0,1.0,,,,
70149,2012,6631440.0,6478780.0,1.0,,,,
70149,2013,6610480.0,6362350.0,1.0,,,,
70149,2014,5063230.0,4806000.0,1.0,,,,
70149,2015,5749760.0,,1.0,,,,
70157,2011,7705800.0,7088610.0,1.0,,,,
70157,2012,8214910.0,7553530.0,1.0,,,,
70157,2013,6963580.0,6587320.0,1.0,,,,
70157,2014,6696970.0,5875880.0,1.0,,,,
70157,2015,7412590.0,,1.0,,,,
70173,2011,6580505.4,6274402.6,1.0,,,,
70173,2012,7186206.7,6714387.7,1.0,,,,
70173,2013,6426796.4,5800767.0,1.0,,,,
70173,2014,5409857.6,4949531.8,1.0,,,,
70173,2015,5332167.3,,1.0,,,,
70181,2011,7106600.0,6701850.0,1.0,,,,
70181,2012,6386040.0,5998700.0,1.0,,,,
70181,2013,6383360.0,6198040.0,1.0,,,,
70181,2014,5938580.0,5675030.0,1.0,,,,
70181,2015,6357110.0,,1.0,,,,
70203,2011,8584190.0,7770010.0,1.0,,,,
70203,2012,7378900.0,6700550.0,1.0,,,,
70203,2013,6075320.0,5687680.0,1.0,,,,
70203,2014,5921100.0,5022030.0,1.0,,,,
70203,2015,6594810.0,,1.0,,,,
70211,2011,6612160.0,5349700.0,1.0,,,,
70211,2012,8068750.0,6720210.0,1.0,,,,
70211,2013,6128910.0,5050440.0,1.0,,,,
70211,2014,4902200.0,4477400.0,1.0,,,,
70211,2015,5090190.0,,1.0,,,,
70262,2011,2095590.0,1953730.0,1.0,2152810.0,1.0,941180.0,0.0
70262,2012,3409510.0,2951640.0,1.0,3342190.0,1.0,1816230.0,0.0
70262,2013,3252860.0,2544040.0,1.0,3192540.0,1.0,1798090.0,0.0
70262,2014,3676630.0,2886790.0,1.0,,,,
70262,2015,3699940.0,,1.0,,,,
70289,2011,5035150.0,4738498.6,1.0,1995900.0,1.0,1144430.0,0.0
70289,2012,5960000.0,5769680.7,1.0,6439420.0,1.0,3138450.0,259620.0
70289,2013,6025000.0,5912050.0,1.0,6133260.0,1.0,3499060.0,0.0
70289,2014,5870000.0,5020545.6,1.0,,,,
70289,2015,6463369.8,,1.0,,,,
70297,2011,2339220.0,1762310.0,1.0,1824830.0,1.0,1243740.0,0.0
70297,2012,3519100.0,3044210.0,1.0,3065130.0,1.0,2170380.0,0.0
70297,2013,3865040.0,3114580.0,1.0,3057190.0,1.0,0.0,0.0
70297,2014,3397570.0,2895220.0,1.0,,,,
70297,2015,3161790.0,,1.0,,,,
70319,2011,,,,2752050.0,1.0,1391630.0,121700.0
70319,2012,,,,3892200.0,1.0,2233150.0,0.0
70319,2013,,,,4180190.0,1.0,2512020.0,0.0
70327,2011,,,,13468420.0,1.0,2826470.0,108580.0
70327,2012,,,,17736450.0,1.0,3114550.0,382930.0
70327,2013,,,,18873160.0,1.0,3616060.0,0.0
70335,2011,2791265.8,1966625.8,1.0,1956350.0,1.0,989090.0,0.0
70335,2012,5378614.6,3687128.0,1.0,3937350.0,1.0,2482190.0,0.0
70335,2013,7004676.1,4292746.5,1.0,3945160.0,1.0,2818130.0,0.0
70335,2014,6054900.2,3658942.8,1.0,,,,
70335,2015,5490200.1,,1.0,,,,
70343,2011,4900000.0,3052340.0,1.0,3144250.0,1.0,1028710.0,0.0
70343,2012,5763840.0,4021410.0,1.0,4322870.0,1.0,1962840.0,0.0
70343,2013,6205810.0,4001330.0,1.0,4186080.0,1.0,2019490.0,0.0
70343,2014,6316800.0,3906380.0,1.0,,,,
70343,2015,7106180.0,,1.0,,,,
70351,2011,,,,6845680.0,1.0,3488440.0,0.0
70351,2012,,,,9356490.0,1.0,5015030.0,0.0
70351,2013,,,,9820510.0,1.0,5513680.0,0.0
