,mun_id,place_id,zip_id
2,70092,703494,11460
4,70092,703516,11461
5,70092,703524,11462
7,70092,703559,11427
11,70092,703591,11426
16,70106,791016,11010
21,70114,791024,11104
23,70122,703664,11308
24,70122,703672,11307
26,70122,703702,11351
27,70122,703729,11224
28,70122,703737,11306
32,70122,703770,11130
34,70122,703796,11309
37,70122,703826,11430
39,70149,791032,11050
41,70157,791059,11080
42,70157,703915,11277
46,70165,703940,11565
50,70165,703982,11563
52,70165,704016,11560
54,70165,704032,11561
56,70165,704075,11562
58,70165,704091,11550
63,70165,704229,11564
75,70173,704334,11414
76,70173,704342,11408
77,70173,704369,11406
80,70173,704393,11412
81,70173,704407,11409
82,70173,704415,11415
86,70173,704458,11400
87,70173,704466,11410
88,70173,704474,11413
93,70173,704547,11433
95,70181,791067,11070
98,70190,704563,11504
104,70190,704628,11508
105,70190,704636,11506
107,70190,704652,11505
113,70190,704725,11261
115,70190,704741,11500
121,70190,704806,11509
122,70190,704814,11507
127,70203,791075,11060
128,70203,704865,11211
132,70203,704903,11212
133,70203,704911,11213
134,70203,704920,11215
136,70211,791083,11090
138,70220,791091,11000
146,70238,705004,11235
150,70238,705055,11233
151,70238,705063,11453
155,70238,705101,11450
158,70246,791105,11102
160,71293,703834,11279
161,71293,703842,11275
162,71293,703869,11272
163,71293,703877,11276
164,71293,703885,11282
165,71293,703893,11280
166,71293,703907,11271
168,70254,791113,11030
169,70254,705128,11262
170,70254,705136,11251
173,70254,705179,11194
174,70254,705187,11255
175,70254,705195,11260
178,80071,800465,24331
179,80071,800473,24300
180,80071,800481,24343
183,80071,800511,24312
186,80071,800546,24308
187,80071,800554,24341
188,80071,800562,24309
190,80071,800597,24351
191,80071,800619,24311
193,80071,800627,24344
194,80071,800635,24330
195,80071,800643,24342
196,80071,800651,24313
199,80071,800686,24340
201,80241,802492,24322
202,80241,802506,24321
203,80241,802514,24323
205,80438,804452,24210
206,80438,804479,24415
208,80438,804495,24206
209,80438,804509,24222
210,80438,804517,24214
211,80438,804525,24214
212,80438,804533,24213
213,80438,804541,24205
214,80438,804550,24215
215,80438,804568,24217
216,80438,804576,24211
217,80438,804584,24223
218,80438,804592,24213
219,80438,804606,24224
220,80438,804614,24000
221,80438,804622,24414
222,80438,804649,24220
223,80438,804657,24418
225,80144,801348,23210
227,80144,801364,23216
229,80144,801399,23210
230,80144,801402,23234
231,80144,801429,23236
232,80144,801437,23212
233,80144,801445,23233
234,80144,801453,23214
235,80144,801461,23235
236,80144,801470,23215
238,80152,801488,23207
239,80152,801496,23242
240,80152,801500,23205
241,80152,801518,23243
242,80152,801526,23208
243,80152,801534,23203
244,80152,801542,23000
245,80152,801569,23201
246,80152,801577,23211
247,80152,801585,23265
248,80152,801593,23241
249,80152,801607,23224
250,80152,801615,23261
251,80152,801623,23270
252,80152,801631,23202
253,80152,801640,23263
254,80152,801658,23260
255,80152,801666,23204
256,80152,801674,23209
257,80152,801682,23262
258,80152,801704,23264
259,80152,801712,23266
261,80250,802522,23217
262,80250,802549,23219
263,80250,802557,23218
264,80250,802565,23221
265,80250,802573,23220
266,80250,802581,23222
268,80268,802590,23274
269,80268,802603,23271
270,80268,802611,23272
271,80268,802620,23273
273,80373,803723,23251
274,80373,803731,23252
276,80373,803758,23250
277,80373,803766,23230
278,80373,803774,23253
279,80373,803782,23231
280,80373,803804,23245
281,80373,803812,23240
282,80373,803839,23244
283,80373,803847,23254
285,80012,800015,24430
286,80012,800023,24435
289,80012,800058,24437
291,80195,801976,24425
292,80195,801984,24428
295,80195,802018,24420
296,80195,802026,24416
298,80195,802042,24417
300,80195,802077,24207
301,80195,802085,24427
302,80195,802093,24426
303,80195,802107,24410
305,80209,802115,23315
