,mb,mun,year,budget,expenditure,income,transfers,area,population,income_percap,budget_percap,expenditure_percap,transfers_percap,pe_party_id,pe_party_abr,pe_party_full,party13_id,party13_abr,party13_full
0,70017,Aleksandrovac,2011,,,424611.0,158220.0,387,25580.0,16.5993354183,,,6.18530101642,,,,,,
1,70017,Aleksandrovac,2012,,,557099.0,236294.0,387,25580.0,21.7786942924,,,9.2374511337,,,,,,
2,70017,Aleksandrovac,2013,,,576218.0,264880.0,387,25580.0,22.5261141517,,,10.3549648163,,,,,,
3,70025,Aleksinac,2011,,,790044.0,330278.0,707,49928.0,15.8236660792,,,6.61508572344,,,,,,
4,70025,Aleksinac,2012,,,1152871.0,494666.0,707,49928.0,23.0906705656,,,9.90758692517,,,,,,
5,70025,Aleksinac,2013,,,1189167.0,529762.0,707,49928.0,23.8176373979,,,10.6105191476,,,,,,
6,70033,Arandjelovac,2011,1195887.0,823985.0,954089.0,233511.0,376,45125.0,21.1432465374,26.5016509695,18.2600554017,5.17475900277,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
7,70033,Arandjelovac,2012,1634342.0,1277765.0,1334363.0,382144.0,376,45125.0,29.5703711911,36.2181052632,28.3161218837,8.46856509695,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
8,70033,Arandjelovac,2013,1480443.0,1176072.0,1227148.0,296437.0,376,45125.0,27.1944155125,32.807601108,26.0625373961,6.56924099723,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
9,70041,Arilje,2011,,,467795.0,107088.0,349,18495.0,25.2930521763,,,5.7901054339,,,,,,
10,70041,Arilje,2012,,,449000.0,100118.0,349,18495.0,24.2768315761,,,5.41324682347,,,,,,
11,70041,Arilje,2013,,,404058.0,112033.0,349,18495.0,21.8468775345,,,6.05747499324,,,,,,
12,70050,Babusnica,2011,279662.0,229492.0,233392.0,123042.0,529,11478.0,20.3338560725,24.3650461753,19.9940756229,10.7198118139,3.0,SPS,Socijalisticka Partija Srbije,1.0,SNS,Srpska Napredna Stranka
13,70050,Babusnica,2012,453545.0,394988.0,392575.0,261703.0,529,11478.0,34.2023871755,39.5142882035,34.4126154382,22.8004007667,3.0,SPS,Socijalisticka Partija Srbije,1.0,SNS,Srpska Napredna Stranka
14,70050,Babusnica,2013,438968.0,371867.0,373262.0,258736.0,529,11478.0,32.5197769646,38.2442934309,32.3982401115,22.5419062554,3.0,SPS,Socijalisticka Partija Srbije,1.0,SNS,Srpska Napredna Stranka
15,70068,Bajina Basta,2011,1002976.23,819603.46,817750.0,116195.0,673,25205.0,32.4439595318,39.792748661,32.5174949415,4.60999801627,17.0,SRS,Srpska Radikalna stranka,17.0,SRS,Srpska Radikalna stranka
